rock_name_original,rock_group,rock_family,n_occurrences,seen_in
"Carbonatized, silicified metasomatized andesite",skarn / metasomatite,metamorphic,1,descriptions.rock_name
Chlorite-albite metasomatite after diorite,skarn / metasomatite,metamorphic,1,descriptions.rock_name
Chlorite-albite metasomatite after gabbrodiorite porphyry,skarn / metasomatite,metamorphic,1,descriptions.rock_name
Chlorite-biotite-muscovite-albite metasomatite,skarn / metasomatite,metamorphic,1,descriptions.rock_name
Chlorite-muscovite-albite metasomatite after microdiorite,skarn / metasomatite,metamorphic,1,descriptions.rock_name
Chlorite-sericite metasomatite,skarn / metasomatite,metamorphic,1,descriptions.rock_name
Chlorite-sericite micro-schist (phyllite),schist / phyllite,metamorphic,1,descriptions.rock_name
Chlorite-sericite phyllite (micro-schist),schist / phyllite,metamorphic,1,descriptions.rock_name
Clayey-micaceous phyllite,schist / phyllite,metamorphic,1,descriptions.rock_name
Dacite,volcanic / subvolcanic,volcanic,1,samples.field_lithology
Dacite porphyry,volcanic / subvolcanic,volcanic,1,descriptions.rock_name
"Dark green, moderately magnetic, strongly chlorytic mafic rock (Andesite?)",volcanic / subvolcanic,volcanic,1,samples.field_lithology
Diabase (olivine-bearing),dolerite / diabase / basalt dyke,mafic intrusive,1,descriptions.rock_name
Diabase dyke,dolerite / diabase / basalt dyke,mafic intrusive,1,samples.field_lithology
"Diffusely mineral-banded, medium- to coarse-grained, poikilitic-textured hornblende-bearing olivine gabbro",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
Diorite?,diorite / quartz diorite,felsic-intermediate intrusive,1,samples.field_lithology
Dolerite?,dolerite / diabase / basalt dyke,mafic intrusive,1,samples.field_lithology
Dunite,peridotite / ultramafic,ultramafic,1,samples.field_lithology
Epidote vein,vein / quartz,vein-ore,1,samples.field_lithology
Epidote-chlorite-actinolite metasomatite (after gabbrodiorite porphyry?),skarn / metasomatite,metamorphic,1,descriptions.rock_name
Felsic rock with jarositic alteration,volcanic / subvolcanic,volcanic,1,samples.field_lithology
Fine grained Bt-Qtz Diorite (micro-diorite),diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name
Fine grained amph-gabbrodiorite,gabbrodiorite,mafic intrusive,1,descriptions.rock_name
Fine to medium grained amphibole gabbrodiorite,gabbrodiorite,mafic intrusive,1,descriptions.rock_name
Fine- to medium-grained biotite granodiorite,diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name
Fine- to medium-grained olivine-hornblende-pyroxene peridotite,peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Fine- to medium-grained pyroxene-hornblende gabbro,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Fine-grained biotite-quartz diorite (microdiorite),diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name
Fine-grained feldspathic sandstone,sediment / metasediment,sedimentary,1,descriptions.rock_name
"Fine-grained, sparsely olivine-phyric, weakly vesicular metabasalt",dolerite / diabase / basalt dyke,mafic intrusive,1,descriptions.rock_name
"Finely hornblende-phyric basalt, probably a dyke or (less likely) chilled margin of a hornblende gabbro intrusive unit",gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
"Foliated, pyritic, fine-grained variolitic metabasalt",dolerite / diabase / basalt dyke,mafic intrusive,1,descriptions.rock_name
Fuchsite,skarn / metasomatite,metamorphic,1,samples.field_lithology
Gabbrdiorite,diorite / quartz diorite,felsic-intermediate intrusive,1,samples.field_lithology
Gabbro Mineralized P,gabbro / gabbronorite / norite,mafic intrusive,1,samples.field_lithology
Gabbro Mineralized S,gabbro / gabbronorite / norite,mafic intrusive,1,samples.field_lithology
Gabbro Mineralized s,gabbro / gabbronorite / norite,mafic intrusive,1,samples.field_lithology
Gabbro mineralized M,gabbro / gabbronorite / norite,mafic intrusive,1,samples.field_lithology
Garnet-Qtz-Carbonate metamorphic rock,skarn / metasomatite,metamorphic,1,descriptions.rock_name
Garnet-carbonate metasomatite (Skarn),skarn / metasomatite,metamorphic,1,descriptions.rock_name
Garnet-carbonate metasomatite (skarn),skarn / metasomatite,metamorphic,1,descriptions.rock_name
Garnet-quartz-carbonate rock,skarn / metasomatite,metamorphic,1,descriptions.rock_name
Gossan (Copper-iron-oxide ),gossan / oxidized,vein-ore,1,descriptions.rock_name
Gossan (Iron oxide-calcite-quartz),gossan / oxidized,vein-ore,1,descriptions.rock_name
Gossan (copper-iron-oxide; original lithofacies not identified),gossan / oxidized,vein-ore,1,descriptions.rock_name
Gossan (iron oxide-calcite-quartz; original lithofacies not identified),gossan / oxidized,vein-ore,1,descriptions.rock_name
Gossan (iron-copper oxide; altered gabbro?),gossan / oxidized,vein-ore,1,descriptions.rock_name
Gravely sandstone,sediment / metasediment,sedimentary,1,samples.field_lithology
"Greenish gray, porphyritic diorite, disseminated py, limonite, malachite replaced sulfide blebs with some residual chalcopyrite",gossan / oxidized,vein-ore,1,samples.field_lithology
Hb Peridotite,peridotite / ultramafic,ultramafic,1,samples.field_lithology
Hematite and limonite altered quartz vein,gossan / oxidized,vein-ore,1,samples.field_lithology
Hematite ore,gossan / oxidized,vein-ore,1,descriptions.rock_name
Hematite-goethite-hydrogoethite ore,gossan / oxidized,vein-ore,1,descriptions.rock_name
Highly altered gabbrodiorite porphyry (albite-chlorite-carbonate metasomatite),skarn / metasomatite,metamorphic,1,descriptions.rock_name
Hornblende gabbrodiorite,gabbrodiorite,mafic intrusive,1,descriptions.rock_name
Hornblende wehrlite,peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Hydrotermal breccia. Strongly brecciated rock. Quartz, carbonate breccia. Light yellowish, moderately limonite, strongly carbonate alteration",gossan / oxidized,vein-ore,1,samples.field_lithology
Hydrothermal altered gabbro,gabbro / gabbronorite / norite,mafic intrusive,1,samples.field_lithology
Intensely altered aphyric fine-grained leucogabbroic dyke (doleritic texture),gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
"Intermediate (?) intrusive rock - entirely altered, name not determinable",intrusive (undifferentiated),unknown,1,descriptions.rock_name
Intermediate subvolcanic rock (intermediate subvolcanic / dyke-type intrusive),volcanic / subvolcanic,volcanic,1,descriptions.rock_name
"Light greenish altered rhyolite with strong silicification, located on the north side of the fault, maybe related to the fault zone the rock may be altered.",volcanic / subvolcanic,volcanic,1,samples.field_lithology
Light yellowish altered porphyritic rhyolite with strong limonitic alterations,gossan / oxidized,vein-ore,1,samples.field_lithology
Listvenite,skarn / metasomatite,metamorphic,1,samples.field_lithology
Lithology essentially identical to OVD005@40.5m (section too thin for confident diagnosis),indeterminate (section not diagnosable),unknown,1,descriptions.rock_name
Mafic intrusive rock,mafic intrusive (undifferentiated),mafic intrusive,1,descriptions.rock_name
Mafic rock,mafic intrusive (undifferentiated),mafic intrusive,1,samples.field_lithology
Mainly fine-grained protomylonite derived from a hornblende gabbro protolith,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Malachite-bearing iron oxide ore,gossan / oxidized,vein-ore,1,descriptions.rock_name
Massive Sulphide,massive sulfide / ore,vein-ore,1,samples.field_lithology
Massive magnetite-chalcopyrite-millerite-pyrrhotite ore,massive sulfide / ore,vein-ore,1,descriptions.rock_name
Massive sulphide bottom contact,massive sulfide / ore,vein-ore,1,samples.field_lithology
Medium-grained hornblende gabbro,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Medium-grained hornblende gabbro (poikilitic texture),gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
"Mendee's CR82 point. Strong silcified hydrothermal brecciated metasedimentary. XRF reading high sulfur S-4000ppm, Phosphorus-1%. Hydrothermal cement material has magnetite.",sediment / metasediment,sedimentary,1,samples.field_lithology
"Meta sediment with strongly argillic, limonitic, sercitic alterations",gossan / oxidized,vein-ore,1,samples.field_lithology
"Meta sediment with strongly laminated texture, with strong limonitic, hematitic, sericitic alterations",gossan / oxidized,vein-ore,1,samples.field_lithology
Metasomatically strongly altered andesidacite,skarn / metasomatite,metamorphic,1,descriptions.rock_name
Metasomatically strongly altered diorite porphyry,skarn / metasomatite,metamorphic,1,descriptions.rock_name
"Mineral-banded, medium- to coarse-grained, poikilitic-textured hornblende-bearing olivine gabbro",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
Mineralised amphibole-plagioclase gneiss (formed from gabbro-diorite),gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Mineralised and altered fine to medium grained peridotite with hornblende (melanocratic gabbro?),peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Mineralised and altered fine-grained melanocratic (olivine-hornblende) gabbro,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Mineralised and altered variably grained pyroxene-hornblende melanocratic gabbro,olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
Mineralised and metasomatically strongly altered fine- to medium-grained peridotite,skarn / metasomatite,metamorphic,1,descriptions.rock_name
"Mineralised and serpentinized, fine to medium grained hornblende peridotite",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Mineralised chlorite-carbonate metasomatite,skarn / metasomatite,metamorphic,1,descriptions.rock_name
Mineralised chlorite-carbonate metasomatite (after gabbrodiorite),skarn / metasomatite,metamorphic,1,descriptions.rock_name
Mineralised chlorite-sericite bearing micro-schist,schist / phyllite,metamorphic,1,descriptions.rock_name
Mineralised coarse- to medium-grained hornblende gabbro (gabbrodiorite),gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Mineralised fine- to medium-grained pyroxene-hornblende melanocratic gabbro,olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
Mineralised gneiss with quartz-actinolite-albite (metasomatite formed from gabbro-diorite),skarn / metasomatite,metamorphic,1,descriptions.rock_name
"Mineralised, altered gabbro-porphyry",gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
"Mineralised, altered melanocratic gabbro porphyry",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
"Mineralised, altered porphyritic-like fine-grained pyroxene-olivine-hornblende melanocratic gabbro",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
"Mineralised, altered uneven-grained (porphyritic-like) hornblende melanocratic gabbro",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
"Mineralised, altered uneven-grained (porphyritic-like) olivine-pyroxene-hornblende melanocratic gabbro (hornblende peridotite)",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Mineralised, altered uneven-grained hornblende peridotite",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Mineralised, altered uneven-grained hornblende peridotite (with altered gabbrodiorite schlieren)",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Mineralised, altered uneven-grained olivine-hornblende melanocratic gabbro",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
"Mineralised, altered uneven-grained olivine-pyroxene-hornblende melanocratic gabbro (hornblende peridotite)",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Mineralised, altered uneven-grained pyroxene melanocratic gabbro",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
"Mineralised, altered uneven-grained pyroxene-hornblende melanocratic gabbro",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
"Mineralised, altered, fine to medium grained pyroxene-biotite-hornblende gabbro",gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
"Mineralised, carbonatised medium- to fine-grained garnet-bearing olivine-pyroxene gabbro (with microgabbro lens)",gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Mineralized altered fine- to medium-grained melanocratic gabbronorite (peridotite?),peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Mineralized fine- to medium-grained hornblende-pyroxene melanocratic gabbro (peridotite?),peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Mineralized hornblende+phlogopite-bearing olivine gabbro,olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
Mineralized olivine hornblendite transitional to an olivine hornblende gabbro,hornblendite,ultramafic,1,descriptions.rock_name
Mineralized olivine-hornblende orthocumulate transitional to a hornblende-bearing wehrlite,peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Mineralized porphyritic fine-grained hornblende-olivine-pyroxene melanocratic gabbro,olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
Mineralized porphyritic fine-grained pyroxene-hornblende gabbro (altered gabbro porphyry),gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Mineralized vari-textured hornblende gabbro with sulfidic blebs,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
"Mineralized, alkalic qtz diorite porphyry",diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name
"Mineralized, altered fine- to medium-grained biotite-bearing alkaline-affinity diorite (with diorite porphyry contact in section)",diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name
"Mineralized, altered gabbro porphyry",gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
"Mineralized, altered porphyritic fine- to medium-grained melanocratic gabbronorite (peridotite?)",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Mineralized, altered porphyritic medium- to fine-grained melanocratic gabbronorite (peridotite?)",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Mineralized, altered, fine grained melanocratic Ol-Amph gabbro",gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
"Mineralized, altered, fine to medium grained, inequigranular, Px-Amph melanocratic Gabbro",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
"Mineralized, chlorite-sericite micro-schist",schist / phyllite,metamorphic,1,descriptions.rock_name
"Mineralized, serpentinized, fine- to medium-grained hornblende-bearing peridotite",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Mineralized, silicic altered biotite-chlorite serpentinite",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Mineralized, silicified serpentine-actinolite-cordierite metasomatite",skarn / metasomatite,metamorphic,1,descriptions.rock_name
"Mineralized, silicified serpentine-chlorite-cordierite metasomatite",skarn / metasomatite,metamorphic,1,descriptions.rock_name
"Mineralized, silicified, carbonate altered siltstone",sediment / metasediment,sedimentary,1,descriptions.rock_name
"Mineralized, spinel-cordierite-actinolite metasomatite (micro-schist)",skarn / metasomatite,metamorphic,1,descriptions.rock_name
"Mineralized, strong metasomatized, fine to edium grained Peridotite",skarn / metasomatite,metamorphic,1,descriptions.rock_name
Moderately altered dolerite,dolerite / diabase / basalt dyke,mafic intrusive,1,descriptions.rock_name
"Moderately foliated, brecciated protomylonite (protolith compositionally typical of the hornblende gabbros)",gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
"Mudstone (?) - oxidised, weathered",sediment / metasediment,sedimentary,1,descriptions.rock_name
Mетасоматоз хувиралд хүчтэй орсон андезидацит,volcanic / subvolcanic,volcanic,1,samples.petro_lithology
Norite and Fault,gabbro / gabbronorite / norite,mafic intrusive,1,samples.field_lithology
Olivine-bearing gabbronorite,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Olivine-bearing hornblende gabbro,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Olivine-bearing websterite,peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Olivine-hornblende orthocumulate (very similar to OVD009@161m),peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Ophitic-textured hornblende biotite gabbro,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Out of chart,other / unclassified,unknown,1,samples.iogas_lithology
Picrite,peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Plagio-rhyolite (Plagio-granite porphyry),granitoid,felsic-intermediate intrusive,1,descriptions.rock_name
Plagioclase-quartz-calcite metasomatite,skarn / metasomatite,metamorphic,1,descriptions.rock_name
Plagiorhyolite (plagiogranite porphyry),granitoid,felsic-intermediate intrusive,1,descriptions.rock_name
"Poikilitic-textured hornblende-bearing olivine gabbro transitional to olivine-bearing hornblendite, cut by a broad band of skarnoid alteration",skarn / metasomatite,metamorphic,1,descriptions.rock_name
Poorly mineralized Olivine Gabbro,olivine gabbro / melagabbro,mafic intrusive,1,samples.field_lithology
Porphyritic basalt,dolerite / diabase / basalt dyke,mafic intrusive,1,samples.field_lithology
Porphyritic fine grained pyroxene hornblende  gabbro (Altered gabbro porphyry),gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Porphyritic fine grained pyroxene hornblende gabbro (Altered gabbro porphyry),gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Porphyritic fine-grained pyroxene-hornblende melanocratic gabbro (altered melanocratic gabbro porphyry),olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
Probably a sulfide-bearing hornblende-olivine gabbro or hornblendite (section too thin for confident diagnosis),hornblendite,ultramafic,1,descriptions.rock_name
Px Hb Gabbro,gabbro / gabbronorite / norite,mafic intrusive,1,samples.field_lithology
"Py boxwork in Quartz Veins, moderate to Strong jarosite in Py in Rock.",vein / quartz,vein-ore,1,samples.field_lithology
Pyritised chlorite-sericite-muscovite metasomatite,skarn / metasomatite,metamorphic,1,descriptions.rock_name
Pyroxene hornfels,hornfels / spotted rock,metamorphic,1,descriptions.rock_name
Pyroxenite?-Poorly mineralized,peridotite / ultramafic,ultramafic,1,samples.field_lithology
"Qtz sheeted veinlets. 21 veins per meter. XRF reading Cu-3500ppm. The rock is strong silcified limonite hematite altered metasedimentary cut by veinlets. Strong limonite altered part's XRF reading is 270ppm Cu, but the less limonite altered, strong silicic altered and cut by sheeted veins part contains 3500ppm Cu by XRF reading. Sample CR86. dip azi 315, dip 63.",gossan / oxidized,vein-ore,1,samples.field_lithology
Quartz vein (?) - quartz-carbonate vein,vein / quartz,vein-ore,1,descriptions.rock_name
Red-brown quartzite hematite (hematitic quartzite),sediment / metasediment,sedimentary,1,descriptions.rock_name
Relatively fine-grained hornblende gabbro (possible near-chilled margin candidate),gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Rhyodacite (acid volcanic); ore: hematite-pyrite disseminated ore,volcanic / subvolcanic,volcanic,1,descriptions.rock_name
Rhyolite dyke,volcanic / subvolcanic,volcanic,1,samples.field_lithology
Rhyolite porphyry,volcanic / subvolcanic,volcanic,1,descriptions.rock_name
"Rhyolite with strong goetic, hematitic, limonitic and argillic aletrations",gossan / oxidized,vein-ore,1,samples.field_lithology
Schist or Mudstone,schist / phyllite,metamorphic,1,samples.field_lithology
"Schistose, carbonatised, strongly altered gabbrodiorite porphyry (metasomatite after gabbrodiorite)",skarn / metasomatite,metamorphic,1,descriptions.rock_name
Semi massive,massive sulfide / ore,vein-ore,1,samples.field_lithology
Serpentine-carbonate-actinolite-chlorite metasomatite (after gabbro or ultramafic pluton),skarn / metasomatite,metamorphic,1,descriptions.rock_name
Serpentine-carbonate-actinolite-chlorite metasomatite (derived from gabbro or ultramafic rock),skarn / metasomatite,metamorphic,1,descriptions.rock_name
Silicified actinolite-chlorite-clinozoisite-sericite metasomatite (after quartz diorite),skarn / metasomatite,metamorphic,1,descriptions.rock_name
Silicified and mineralised serpentinite with biotite-chlorite,peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Silicified, carbonatised and mineralised silty argillite",sediment / metasediment,sedimentary,1,descriptions.rock_name
"Silicified, carbonatised chlorite-sericite-muscovite micro-schist (phyllite) after siltstone",schist / phyllite,metamorphic,1,descriptions.rock_name
"Silicified, carbonatised, pyritized silty argillite (phyllite)",schist / phyllite,metamorphic,1,descriptions.rock_name
"Silicified, mineralised biotite-chlorite serpentinite",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Silicified, mineralised cordierite-serpentine-actinolite metasomatite",skarn / metasomatite,metamorphic,1,descriptions.rock_name
"Silicified, mineralised cordierite-serpentine-chlorite metasomatite",skarn / metasomatite,metamorphic,1,descriptions.rock_name
"Silicified, mineralised serpentine-actinolite-cordierite metasomatite",skarn / metasomatite,metamorphic,1,descriptions.rock_name
"Silicified, mineralised serpentine-chlorite-cordierite metasomatite",skarn / metasomatite,metamorphic,1,descriptions.rock_name
"Silicified, pyritized silty argillite",sediment / metasediment,sedimentary,1,descriptions.rock_name
"Silicified, weakly mineralised medium- to fine-grained pyroxenite",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Siltstone & Sandstone,sediment / metasediment,sedimentary,1,samples.field_lithology
Skarn,skarn / metasomatite,metamorphic,1,samples.petro_lithology
Spotted,hornfels / spotted rock,metamorphic,1,samples.field_lithology
Strong  hematite altered gneissous rock,sediment / metasediment,sedimentary,1,samples.field_lithology
Strong carbonate altered Gabbrodiorite porphyry,gabbrodiorite,mafic intrusive,1,descriptions.rock_name
Strong metasomatized diorite porphyry,skarn / metasomatite,metamorphic,1,descriptions.rock_name
"Strong mineralized, altered, fine to medium grained Amph-Peridotite",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Strong mineralized, altered, fine to medium grained Amph-Peridotite 
(contains weakly mineralized, altered, fine to medium grained Px-Amph Gabbrodiorite lens)",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Strong sericite, jarosite altered metasomatite",skarn / metasomatite,metamorphic,1,samples.field_lithology
Strongly altered fine- to medium-grained olivine-amphibole gabbro (melanocratic gabbro),olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
Strongly altered gabbrodiorite porphyry,gabbrodiorite,mafic intrusive,1,descriptions.rock_name
Strongly altered medium-grained hornblende peridotite,peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Strongly altered uneven-grained hornblende peridotite,peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Strongly altered, fine to medium grained, Amph-Peridotite",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Strongly altered, gabbrodiorite porphyry (albite-chlorite-actinolite metasomatite after gabbrodiorite)",skarn / metasomatite,metamorphic,1,descriptions.rock_name
"Strongly altered, mineralised porphyritic-like medium- to fine-grained hornblende melanocratic gabbro",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
"Strongly altered, mineralised uneven-grained hornblende peridotite (melanocratic gabbro)",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Strongly altered, mineralised uneven-grained olivine-hornblende peridotite",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Strongly altered, weakly mineralised uneven-grained pyroxene-olivine-hornblende melanocratic gabbro",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
"Strongly altered, weakly mineralised uneven-grained pyroxene-olivine-hornblende peridotite",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Strongly brecciated, silicified, carbonate altered, mineralized chlorite-serpentine metasomatite",skarn / metasomatite,metamorphic,1,descriptions.rock_name
"Strongly brecciated, silicified, carbonatised, mineralised chlorite-serpentine metasomatite (chloritic serpentinite)",skarn / metasomatite,metamorphic,1,descriptions.rock_name
Strongly carbonatised and altered gabbrodiorite porphyry,gabbrodiorite,mafic intrusive,1,descriptions.rock_name
Strongly carbonatised epidote-chlorite-actinolite-sericite metasomatite after gabbrodiorite porphyry,skarn / metasomatite,metamorphic,1,descriptions.rock_name
Strongly carbonatised fine-grained arkosic sandstone,sediment / metasediment,sedimentary,1,descriptions.rock_name
"Strongly carbonatised, chloritized gabbrodiorite porphyry",gabbrodiorite,mafic intrusive,1,descriptions.rock_name
Strongly metasomatically altered gabbrodiorite porphyry,skarn / metasomatite,metamorphic,1,descriptions.rock_name
Strongly mineralised and altered fine- to medium-grained hornblende peridotite,peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Strongly mineralised and altered fine- to medium-grained hornblende peridotite (with lenses of weakly mineralised pyroxene-hornblende gabbrodiorite),peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Strongly mineralised and altered fine- to medium-grained peridotite,peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Strongly mineralised and altered uneven-grained hornblende peridotite,peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Strongly mineralised fine- to medium-grained pyroxene-hornblende gabbro,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
"Strongly mineralised, altered uneven-grained olivine-hornblende peridotite",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Strongly mineralized quartz diorite porphyry (andesite-dacite),diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name
"Strongly mineralized, quite coarse-grained hornblende gabbro",gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Supergene Ni ore - garnierite / nickeliferous goethite-limonite in fractures,gossan / oxidized,vein-ore,1,descriptions.rock_name
"Texturally well preserved, medium-grained olivine hornblendite",hornblendite,ultramafic,1,descriptions.rock_name
Tuff sandstone,volcanic / subvolcanic,volcanic,1,samples.field_lithology
Tuffite / tuffaceous sandstone; andesitic tuff with 2-8 mm rhyolite and andesite lithic clasts,volcanic / subvolcanic,volcanic,1,descriptions.rock_name
Ultramafic?,peridotite / ultramafic,ultramafic,1,samples.field_lithology
Uneven-grained arkosic sandstone,sediment / metasediment,sedimentary,1,descriptions.rock_name
Uneven-grained feldspathic gravelly greywacke sandstone,sediment / metasediment,sedimentary,1,descriptions.rock_name
Uneven-grained feldspathic greywacke (gravelly) sandstone,sediment / metasediment,sedimentary,1,descriptions.rock_name
Uneven-grained feldspathic greywacke sandstone,sediment / metasediment,sedimentary,1,descriptions.rock_name
Uneven-grained pyroxene-bearing hornblendite,hornblendite,ultramafic,1,descriptions.rock_name
Unmineralized Gabbro,gabbro / gabbronorite / norite,mafic intrusive,1,samples.field_lithology
Vari-textured gabbro,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Vari-textured gabbro (texturally complex),gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Vari-textured hornblende gabbro,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Vari-textured olivine hornblende microgabbro transitional to a hornblende dolerite,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
"Weakly brecciated, carbonatised medium-grained pyroxene-hornblende peridotite",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Weakly carbonate altered, minerlized sandy siltstone",sediment / metasediment,sedimentary,1,descriptions.rock_name
Weakly carbonatised and mineralised silty argillite (siltstone),sediment / metasediment,sedimentary,1,descriptions.rock_name
Weakly carbonatised iron oxide ore,gossan / oxidized,vein-ore,1,descriptions.rock_name
"Weakly ferruginised, carbonatised quartz-actinolite-epidote metasomatite (after gabbrodiorite porphyry)",skarn / metasomatite,metamorphic,1,descriptions.rock_name
Weakly mineralised and altered fine- to medium-grained hornblende peridotite,peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Weakly mineralised and altered fine- to medium-grained melanocratic gabbro (hornblende peridotite),peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Weakly mineralised and altered melanocratic gabbro porphyry,olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
Weakly mineralised and altered melanocratic gabbro porphyry (porphyry-like fine-grained melanocratic gabbro),olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
Weakly mineralised argillite (phyllite) derived from siltstone,schist / phyllite,metamorphic,1,descriptions.rock_name
Weakly mineralised carbonate-actinolite-chlorite metasomatite derived from gabbrodiorite,skarn / metasomatite,metamorphic,1,descriptions.rock_name
Weakly mineralised chlorite-sericite micro-schist (phyllite) derived from siltstone,schist / phyllite,metamorphic,1,descriptions.rock_name
Weakly mineralised meta-siltstone,sediment / metasediment,sedimentary,1,descriptions.rock_name
"Weakly mineralised, altered microgabbro (taxitic microgabbro/microgabbrodiorite)",gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
"Weakly mineralized, altered melanocratic gabbro porphyry",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
