sample_id,hole_id_norm,depth_from_m,depth_to_m,Au_ppm__PGM_ICP27,Pt_ppm__PGM_ICP27,Pd_ppm__PGM_ICP27,Ag_ppm__ME_ICP61,Al_pct__ME_ICP61,As_ppm__ME_ICP61,Ba_ppm__ME_ICP61,Be_ppm__ME_ICP61,Bi_ppm__ME_ICP61,Ca_pct__ME_ICP61,Cd_ppm__ME_ICP61,Co_ppm__ME_ICP61,Cr_ppm__ME_ICP61,Cu_ppm__ME_ICP61,Cu_pct__Cu_OG62,Fe_pct__ME_ICP61,Ga_ppm__ME_ICP61,K_pct__ME_ICP61,La_ppm__ME_ICP61,Li_ppm__ME_ICP61,Mg_pct__ME_ICP61,MgO_pct__ME_ICP61,Mn_ppm__ME_ICP61,Mo_ppm__ME_ICP61,Na_pct__ME_ICP61,Ni_ppm__ME_ICP61,Ni_pct_ppm__Ni_OG62,P_pct__ME_ICP61,Pb_ppm__ME_ICP61,S_pct__ME_ICP61,Sb_ppm__ME_ICP61,Sc_ppm__ME_ICP61,Sr_ppm__ME_ICP61,Th_ppm__ME_ICP61,Ti_pct__ME_ICP61,Tl_ppm__ME_ICP61,U_ppm__ME_ICP61,V_ppm__ME_ICP61,W_ppm__ME_ICP61,Zn_ppm__ME_ICP61,Zr_ppm__IC40M,Se_PPM__IC40M,Rb_PPM__IC40M,Y_PPM__IC40M,Nb_PPM__IC40M,In_PPM__IC40M,Sn_PPM__IC40M,Te_PPM__IC40M,Cs_PPM__IC40M,Ce_PPM__IC40M,Tb_PPM__IC40M,Yb_PPM__IC40M,Lu_PPM__IC40M,Hf_PPM__IC40M,Ta_PPM__IC40M,Pr_PPM__IC90M,Nd_PPM__IC90M,Sm_PPM__IC90M,Eu_PPM__IC90M,Gd_PPM__IC90M,Dy_PPM__IC90M,Ho_PPM__IC90M,Er_PPM__IC90M,Tm_PPM__IC90M,Ge_PPM__IC90M,Al2O3_pct__ME_XRF26,BaO_pct__ME_XRF26,CaO_pct__ME_XRF26,Cr2O3_pct__ME_XRF26,Fe2O3_pct__ME_XRF26,K2O_pct__ME_XRF26,MgO_pct__ME_XRF26,MnO_pct__ME_XRF26,Na2O_pct__ME_XRF26,P2O5_pct__ME_XRF26,SO3_pct__ME_XRF26,SiO2_pct__ME_XRF26,SrO_pct__ME_XRF26,TiO2_pct__ME_XRF26,Total_pct__ME_XRF26,PbO_pct__XRF76V,CuO_pct__XRF76V,TiO2_pct__XRF76V,V2O5_pct__XRF76V,ZnO_pct__XRF76V
41021,OVD009,126.7,,0.001,0.01,0.001,0.02,6.15,21,98,5,0.1,5.88,0.2,71.1,738,232,0.0232,7.27,12,0.1,13,41,8.98,14.88884,1154,2,,500,0.05,0.1,10,0.24,0.1,19,412,1.6,0.43,0.5,0.53,118,1,74,83.3,,2.2,16.3,3,0.2,1,0.05,0.2,28.6,0.52,1.7,0.23,2,0.5,3.6,16,3.4,1.13,3.37,3.03,0.61,1.47,0.28,1,10.48,0.02,7.54,0.1,9.48,0.13,14.29,0.15,2.14,0.2,0.5,43.51,,0.64,,0.01,0.02,0.64,0.01,0.01
41020,OVD009,143.0,,0.046,0.04,0.048,2.74,4.24,5,107,5,1.4,2.97,1.3,300,1224,5553,0.5553,15.6,9,0.23,8.4,20,12.1,20.061799999999998,1345,2,,4923,0.4923,0.07,29,4.81,0.1,14,309,0.8,0.35,0.5,0.28,94,1,108,59.2,,6.7,11.3,2,0.2,1,1.01,1.2,19.8,0.38,1.2,0.16,2,0.5,2.57,10.6,2.6,0.8,2.67,2.3,0.47,1.13,0.17,1,7.45,0.11,3.95,0.16,20.9,0.39,18.82,0.18,0.47,0.16,6.2,37.87,,0.54,,0.01,0.6,0.54,0.01,0.01
41033,OVD009,149.8,,0.013,0.01,0.017,0.77,6.56,8,162,5,0.2,3.63,0.6,116,601,1419,0.1419,8.22,14,0.32,10.8,27,7.03,11.65574,1117,2,,1432,0.1432,0.08,12,1.32,0.1,18,375,0.8,0.43,0.5,0.44,129,1,78,81.3,,9,16.1,3,0.2,1,0.3,0.5,25.4,0.51,1.8,0.28,2,0.5,3.35,15.1,3,1.09,3.66,3.16,0.64,1.57,0.24,1,13.44,0.03,5.56,0.1,12.25,0.63,12.78,0.18,2.54,0.19,2.81,43.98,,0.75,,0.01,0.2,0.75,0.02,0.01
41023,OVD009,151.6,,0.023,0.03,0.033,1.54,6.76,5,148,5,0.7,4.14,0.8,157,468,2675,0.2675,8.45,16,0.33,13.3,22,5.21,8.63818,1072,2,,2254,0.2254,0.08,11,2.31,0.1,18,399,1,0.4,0.5,0.5,112,1,71,87.7,,11.1,16.9,3,0.2,1,0.66,0.3,30.3,0.53,1.9,0.24,3,0.5,3.96,17,3.7,1.19,3.74,3.43,0.68,1.51,0.27,1,13.7,0.05,6.32,0.06,12.53,0.67,9.7,0.16,2.66,0.19,4.17,45.14,,0.67,,0.01,0.3,0.67,0.01,0.01
41017,OVD009,161.0,,0.044,0.04,0.053,2.51,4.43,5,57,5,1.1,2.04,1.2,220,1090,4165,0.4165,12.85,10,0.1,7.7,28,13.2,21.885599999999997,1327,2,,3870,0.387,0.08,13,3.06,0.1,15,156,0.5,0.42,0.5,0.28,96,1,102,68.7,,4,12.5,3,0.2,1,0.98,1.1,18.4,0.41,1.4,0.18,2,0.5,2.42,10.4,2.6,0.81,2.65,2.64,0.51,1.33,0.17,1,8.02,0.06,2.86,0.15,17.36,0.24,21.39,0.18,0.12,0.15,4.95,40.02,,0.63,,0.01,0.41,0.63,0.01,0.01
41016,OVD009,171.5,,0.233,0.14,0.193,11,2.97,5,42,5,4.8,2.11,4.5,443,1113,10000,1.68,24.74,6,0.1,3.3,10,13.15,21.802699999999998,1427,2,,1.2,0.00011999999999999999,0.05,101,9.69,0.1,10,197,0.2,0.21,0.5,0.1,59,1,153,35,,2.2,5.6,1,0.3,4,4.13,0.5,8.1,0.17,0.6,0.09,1,0.5,1.04,4.8,1,0.38,1.12,1.25,0.21,0.55,0.09,1,4.23,0.01,2.75,0.15,29.33,0.13,18.87,0.18,0.14,0.06,7.24,28.47,,0.29,,0.01,0.19,0.29,0.01,0.01
41034,OVD009,190.8,,0.146,0.11,0.133,7.45,4.14,15,99,5,3.2,2.64,3,254,961,9775,0.9775,14.72,9,0.15,7.2,19,12.75,21.139499999999998,1301,2,,5333,0.5333,0.07,64,4.06,0.1,12,319,0.5,0.33,0.5,0.26,81,1,114,58.9,,6.3,10,3,0.2,3,2.69,0.8,16.5,0.32,1,0.18,2,0.5,2.13,9.5,2.2,0.7,2.23,1.97,0.4,1.19,0.17,1,7.09,0.08,3.61,0.13,19.79,0.33,20.06,0.17,0.7,0.15,5.41,37,,0.49,,0.01,0.5,0.49,0.01,0.01
41014,OVD009,195.2,,0.03,0.02,0.03,0.8,4.38,13,69,5,0.3,3.73,0.5,136,950,1509,0.1509,10.14,10,0.1,8.9,41,12.53,20.774739999999998,1506,2,,1857,0.1857,0.08,6,1.56,0.1,14,328,0.6,0.39,0.5,0.37,93,1,95,67.7,,8.4,13.5,3,0.2,1,0.31,1.7,20.7,0.4,1.4,0.21,2,0.5,2.7,12.3,2.6,0.89,2.95,2.8,0.56,1.27,0.24,2,7.65,0.02,5.3,0.15,13.74,0.35,20.36,0.21,0.44,0.2,3.65,40.31,,0.67,,0.01,0.17,0.67,0.02,0.01
42899,CRS01A,81.0,,0.05,,,2,7.25,1,308,0.1,0.19,0.11,0.17,78.2,375,1640,0.164,11.93,14,0.11,1.4,31,7.39,12.252619999999999,1124,0.95,0.08,94,0.0094,0.005,7.7,3.05,0.18,40.5,18.4,0.9,0.19,0.42,0.31,252,0.5,185,21.3,5,12.7,7.2,3.3,0.08,0.3,0.25,2,4.32,0.16,1,0.16,0.73,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43161,CRS01A,184.32,,0.14,,,2,4.54,5,261,0.1,0.3,0.56,0.15,107,379,2140,0.214,11.49,13,0.37,1.3,51,7.21,11.95418,1071,3.44,0.14,128,0.0128,0.005,9.6,3.21,0.05,34,36.8,0.3,0.17,0.61,0.23,244,0.5,69,13.9,14,13.6,6,2.7,0.06,0.3,0.38,2,3.2,0.13,0.9,0.14,0.48,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42923,CRS01A,104.4,,0.19,,,2,3.8,2,9828,0.1,0.33,0.1,0.48,49.1,151,2880,0.288,12.6,8.2,0.12,0.7,21,2.95,4.8911,605,14.2,0.05,60,0.006,0.005,29.7,6.53,0.17,18.8,169,0.2,0.11,0.46,0.31,135,0.5,123,12,8,4,3.2,1.6,0.13,0.3,0.7,1,2.12,0.06,0.5,0.07,0.41,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42931,CRS01A,111.8,,0.01,,,2,7.87,2,436,2.7,0.21,0.67,0.04,2.1,16,42.9,,1.61,20.9,0.61,15.7,9,0.81,1.34298,317,0.35,4.47,12,0.0012,0.0426,42.9,0.03,0.11,3.2,100,4.7,0.15,0.46,1.96,18,0.6,44,94.5,2,5.4,4.3,7.1,0.04,1.3,0.05,1,33.3,0.21,0.3,0.05,3.01,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42936,CRS01A,114.8,,0.19,,,2,7.42,2,544,0.4,0.36,0.17,0.71,79.4,278,3970,0.397,13.64,12.2,0.42,2,38,5.28,8.75424,981,17.1,0.14,77,0.0077,0.005,19.3,5.43,0.05,37.2,26,1.2,0.16,0.55,0.71,226,5.5,351,20.8,17,14.9,6.6,3.2,0.16,0.3,1.07,3,4.7,0.15,1.1,0.19,1.09,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42951,CRS01A,124.1,,0.24,,,2,7.24,2,680,0.1,0.41,0.24,0.52,48.9,194,1740,0.174,10.9,11.9,0.37,1.2,42,6.34,10.511719999999999,864,7.27,0.17,68,0.0068,0.005,22.1,4.5,0.05,35.8,60.7,0.6,0.13,0.84,0.42,217,0.5,331,18.9,9,12.7,6.2,1.7,0.13,0.3,0.5,3,3.25,0.14,1,0.16,0.69,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43166,CRS01A,187.8,,0.19,,,2,4.25,5,71,0.1,0.53,0.19,0.47,122,428,4890,0.489,12.43,13.2,0.24,1.3,47,5.93,9.83194,1046,1.73,0.16,112,0.0112,0.005,9.8,3.83,0.05,35.5,32.2,0.5,0.17,0.52,0.29,253,0.3,64,16.2,19,9.6,6,3.1,0.06,0.3,0.43,2,3.04,0.13,1,0.16,0.6,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43167,CRS01A,188.4,,0.18,,,3,7.87,7,72,0.2,0.62,0.2,0.66,90.1,382,6730,0.673,13.76,13.6,0.32,1.1,53,7.02,11.639159999999999,1316,1.39,0.13,81,0.0081,0.005,8.6,5.7,0.06,33.6,23.9,0.7,0.15,0.73,0.19,236,0.9,78,17.7,21,11.4,5.6,2.2,0.07,0.3,0.4,2,2.22,0.13,0.9,0.15,0.58,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42851,CRS01A,41.4,,0.23,,,2,7.36,1,319,0.1,0.3,0.12,6.01,67.6,338,1350,0.135,13.78,12.4,0.09,2.1,32,6.62,10.975959999999999,917,2.7,0.07,93,0.0093,0.005,30.2,4.36,0.07,33,18.7,0.3,0.18,0.32,0.51,218,0.4,1274,16.7,4,3.4,5.2,3.6,0.15,0.3,0.43,2,5.46,0.13,0.8,0.12,0.7,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42865,CRS01A,53.4,,0.39,,,2,6.89,1,2583,0.1,0.22,0.1,6.8,65.5,256,3940,0.394,13.1,11.8,0.12,1.6,24,6.34,10.511719999999999,827,5.53,0.08,83,0.0083,0.005,26.2,2.94,0.36,29.7,90.2,0.3,0.17,0.6,0.56,206,0.3,1451,19.2,2,3.4,4,2.6,0.17,0.3,0.24,2,4.37,0.12,0.5,0.1,0.58,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42874,CRS01A,61.3,,0.17,,,2,5.42,3,623,0.1,0.18,2.52,1.54,50.8,175,1470,0.147,11.66,8.7,0.38,2.5,18,7.23,11.98734,1645,8.31,0.08,59,0.0059,0.005,23.8,3.85,0.25,22.4,67.9,0.2,0.13,0.35,0.99,167,3.6,555,16,3,8.4,6.8,2.2,0.17,0.6,1.96,1,4.8,0.16,0.7,0.12,0.54,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42908,CRS01A,90.5,,0.27,,,2,5.29,2,1183,0.1,0.55,0.06,0.46,69.3,210,3880,0.388,11.41,9.1,0.25,0.9,27,3.63,6.01854,560,4.71,0.07,60,0.006,0.005,24.4,4.94,0.07,27.7,20.7,0.8,0.12,0.43,0.3,161,0.6,177,18.2,10,13,4.5,1.7,0.14,0.3,0.96,2,2.42,0.1,0.7,0.12,0.67,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43523,CRS02,11.4,11.4,0.01,0.01,0.01,0.5,7.64,5,830,2.3,2,1.45,0.5,1,10,3,,1.06,20,1.36,20,10,0.45,0.7461,252,1,4.21,4,,290,54,0.02,5,3,263,20,0.11,10,10,12,10,26,80,10,40,10,5,,10,10,,50,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43542,CRS02,28.0,28.0,0.01,0.01,0.01,0.5,7.04,5,900,2.6,2,0.84,0.5,1,9,2,,1.1,20,1.92,20,10,0.53,0.87874,316,1,3.88,9,,320,51,0.02,5,4,231,20,0.13,10,10,18,10,40,78,10,50,10,5,,10,10,,50,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43554,CRS02,38.2,38.2,0.01,0.01,0.01,0.5,2.63,5,20,0.8,2,5.32,0.5,73,1130,27,,4.07,10,0.07,10,20,8.46,14.02668,1395,1,0.17,929,,150,4,0.07,5,13,108,20,0.09,10,10,77,10,47,12,10,20,10,6,,10,10,,50,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43569,CRS02,54.7,54.7,0.01,0.01,0.01,0.5,5.17,7,10,0.5,2,3.64,0.5,10,5,46,,3.64,10,0.19,10,10,2,3.316,1405,2,3.21,32,,260,2,0.31,5,13,62,20,0.2,10,10,19,10,64,20,10,20,10,5,,10,10,,50,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43570,CRS02,55.0,55.0,0.01,0.01,0.01,0.5,4.44,12,10,0.5,2,2.1,0.5,15,19,58,,3.82,10,0.18,10,10,1.14,1.8901199999999998,1955,3,2.52,37,,1380,5,0.57,5,13,59,20,0.17,10,10,58,10,53,18,10,20,20,5,,10,10,,50,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43598,CRS02,89.9,89.9,0.01,0.01,0.01,0.5,7.12,5,230,0.9,2,5.98,0.5,36,432,56,,5.18,10,0.55,10,10,4.7,7.7926,2110,1,2.5,200,,520,10,0.06,5,35,218,20,0.24,10,10,199,10,60,28,10,30,10,5,,10,10,,60,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43632,CRS03,17.7,17.7,0.01,0.01,0.02,0.5,6.6,5,20,0.5,2,2.73,0.5,37,202,290,,6.66,10,0.08,10,20,4.82,7.99156,1535,1,2.12,76,,140,2,0.78,5,34,92,20,0.17,10,10,219,10,108,19,10,20,10,5,,10,10,,50,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43664,CRS03,51.8,51.8,0.01,0.01,0.01,0.5,4.85,10,60,0.5,2,9.09,0.5,21,250,8,,4.37,10,0.12,10,10,2.71,4.49318,1175,1,0.29,38,,70,3,0.01,5,27,178,20,0.09,10,10,175,10,15,9,10,20,10,5,,10,10,,50,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43689,CRS03,89.4,89.4,0.01,0.01,0.01,0.5,7.36,5,30,0.5,2,6.08,0.5,33,69,7,,6.24,10,0.15,10,10,3.39,5.62062,913,1,2.57,41,,150,2,0.01,5,39,147,20,0.18,10,10,245,10,43,16,10,20,10,5,,10,10,,50,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42513,OVD010,97.7,,0.001,0.01,0.005,2,8.82,6,42,0.5,0.08,6.63,0.07,42.2,441,106,,9.08,19.7,0.12,12.4,136,5.59,9.26822,1799,0.62,1.71,131,0.0131,0.1026,2.8,0.83,0.16,41.6,480,2.4,0.73,0.02,1.06,312,0.7,95,93.3,2,2.1,18.7,3.2,0.08,1.1,0.05,1,31.7,0.72,1.8,0.24,3.21,0.27,2.13,9.5,2.2,0.7,2.23,1.97,0.4,1.19,0.17,1,,,,,,,,,,,,,,,,,,,,
42539,OVD010,226.3,,0.003,0.01,0.002,2,9.5,7,271,0.9,0.04,1.81,0.09,24.1,91,82.5,,6.41,19.8,1.21,3,75,1.94,3.2165199999999996,1173,0.57,3.65,43,0.0043,0.0461,5.2,1.12,0.38,24.9,304,0.8,0.58,0.12,0.37,162,0.3,91,80.9,2,10.3,15,2.6,0.07,1,0.05,1,8.01,0.47,1.8,0.25,2.53,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42553,OVD010,305.6,,0.004,0.01,0.003,3,8.57,6,287,0.6,0.04,5.28,0.06,33.7,311,47.3,,5.43,15.4,0.38,11.7,80,5.23,8.67134,966,0.34,2.16,238,0.0238,0.0798,1.9,0.59,0.29,24.7,864,1.8,0.41,0.02,0.63,166,0.1,54,65.5,2,6,14.5,2.1,0.05,0.5,0.05,2,28.1,0.47,1.2,0.2,1.71,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42027,OVD011,101.5,,0.001,0.01,0.001,2,6.37,65,62,1.3,0.04,7.72,0.11,54.4,1162,65.4,,7.04,12.8,0.31,13.9,50,9.68,16.049439999999997,1357,0.82,0.72,462,0.0462,0.1376,4.3,0.02,0.33,29.5,461,2,0.37,0.03,1.09,240,0.3,79,58.5,2,3.4,11.7,2.1,0.03,0.6,0.07,1,34.7,0.47,1.1,0.16,1.88,0.05,3.32,15.7,4.1,1.23,4.7,4.97,0.97,2.97,0.44,2,,,,,,,,,,,,,,,,,,,,
42030,OVD011,107.4,,0.001,0.01,0.001,2,9.66,5,89,0.8,0.04,9.5,0.09,25.4,133,90.4,,6.28,17.2,0.31,10.1,40,2.51,4.16158,1833,1.13,2.67,59,0.0059,0.1028,7.1,1.09,0.22,27.6,486,1.3,0.55,0.03,1.22,173,0.5,81,83.4,2,5.2,19.7,3,0.05,0.8,0.11,1,24,0.59,2.2,0.32,2.76,0.07,2.96,13.2,2.7,1.13,2.9,2.74,0.54,1.44,0.2,2,,,,,,,,,,,,,,,,,,,,
42031,OVD011,109.1,,0.001,0.01,0.001,2,10.37,6,173,0.9,0.04,8.98,0.06,24.7,159,90.4,,6.94,19.2,0.8,9.3,65,2.38,3.9460399999999995,2117,0.67,2.7,64,0.0064,0.0636,2.4,0.41,0.2,30.3,774,1.4,0.58,0.07,1.57,186,0.4,90,82,2,12.1,18.5,3.8,0.06,0.8,0.13,1,19.1,0.56,2.2,0.34,2.92,0.09,1.19,5.8,1.5,0.57,1.77,2.05,0.4,1.17,0.17,2,,,,,,,,,,,,,,,,,,,,
42032,OVD011,109.6,,0.001,0.01,0.001,2,10.28,6,169,0.9,0.04,5.34,0.1,26.3,95,94.1,,6.26,18.7,1.05,9.7,64,1.91,3.1667799999999997,1205,0.83,3.14,51,0.0051,0.1093,9.3,1.54,0.16,27.8,653,1.4,0.55,0.11,1.16,185,0.4,89,67.4,2,18.9,20.6,2.7,0.06,0.9,0.16,1,23.4,0.67,2.3,0.33,2.28,0.07,2.86,12.5,2.8,0.94,2.72,2.64,0.48,1.3,0.2,1,,,,,,,,,,,,,,,,,,,,
42043,OVD011,126.5,,0.01,0.01,0.014,2,6.54,13,107,0.9,0.04,7.06,0.17,71,857,858,,7.2,13.3,0.38,12.5,37,8.48,14.05984,1281,0.72,1.05,910,0.091,0.1076,4.5,0.6,7.14,26.5,464,1.7,0.48,0.04,0.85,191,0.2,74,72.9,2,6,13.5,3.2,0.05,0.8,0.12,1,32.2,0.52,1.4,0.21,2.4,0.07,3.32,16.1,4,1.11,4.6,4.76,0.95,2.58,0.38,2,,,,,,,,,,,,,,,,,,,,
42049,OVD011,132.8,,0.001,0.01,0.004,2,7.58,5,254,0.8,0.04,4.74,0.11,65.9,504,228,,6.85,14.9,0.52,15.9,48,8.24,13.66192,1318,0.54,1.45,553,0.0553,0.1151,3.6,0.27,0.27,25.7,559,2,0.48,0.06,0.78,159,0.3,82,98.1,2,8.5,18.9,4.7,0.06,0.9,0.08,2,39.6,0.62,2,0.29,2.52,0.28,2.88,13.1,3.7,1.09,3.42,4.09,0.88,2.59,0.4,1,,,,,,,,,,,,,,,,,,,,
42086,OVD011,189.2,,0.001,0.01,0.005,2,6.29,3,12,1.2,0.04,6.19,0.07,62.4,910,105,,7.12,12.1,0.12,13.4,53,10.17,16.86186,1300,0.48,0.28,506,0.0506,0.1105,3.6,0.19,0.05,31.3,248,2.2,0.34,0.02,1.03,189,0.4,65,64,2,0.7,11.5,2.2,0.04,0.6,0.05,1,34.3,0.47,1,0.16,1.81,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42111,OVD014,35.9,36.1,0.002,0.01,0.002,2,8.44,3,140,0.8,0.06,1.28,0.09,17,22,38.2,,6.02,23.8,0.8,8.7,78,1.92,3.1833599999999995,1192,0.45,2.59,14,0.0014,0.071,6.3,0.13,0.05,31.2,461,1.1,0.5,0.08,0.83,118,0.3,103,72.9,2,14.3,25.3,2.4,0.08,1.1,0.05,1,23.2,0.8,2.9,0.41,2.4,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42145,OVD014,88.3,,0.001,0.01,0.002,2,10.35,4,171,0.6,0.04,4.86,0.1,26.3,84,76.5,,7.12,19.6,0.64,7.3,48,2.11,3.4983799999999996,1075,0.47,3.95,42,0.0042,0.0962,5.3,0.67,0.06,28.8,543,1.3,0.5,0.06,0.59,171,0.3,90,43.8,2,9.2,16.2,2.1,0.07,0.8,0.06,1,17.4,0.53,1.6,0.27,1.64,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42147,OVD014,89.8,,0.013,0.01,0.001,2,8.89,4,135,0.7,0.04,9.29,0.13,25.9,138,118,,6.33,16.5,0.34,13.1,24,2.92,4.84136,1538,0.62,3.34,83,0.0083,0.1009,6.2,0.55,0.11,24.3,646,1.7,0.58,0.02,0.78,153,0.2,74,110,2,4.8,24,4.3,0.07,1.1,0.05,1,29.6,0.71,2.5,0.4,3.17,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42158,OVD014,102.3,,0.025,0.08,0.086,3,4.67,32,9,0.3,0.61,6.71,1.41,307,486,6590,,14.09,9.6,0.01,6.2,39,6.96,11.539679999999999,1041,1.53,0.02,6370,0.637,0.0457,15,5,0.15,10.8,182,0.8,0.25,0.07,0.27,97,0.2,122,35.2,10,0.9,8.9,1.9,0.16,1.5,1.05,1,16,0.32,0.7,0.1,0.81,0.14,4.13,18.2,4.1,1.28,4.62,3.49,0.77,1.85,0.3,2,,,,,,,,,,,,,,,,,,,,
42164,OVD014,109.6,,0.001,0.01,0.008,2,6.53,1,110,1.2,0.07,5.81,0.08,52.8,981,126,,7.37,12.8,0.49,17.5,49,9.57,15.86706,1405,0.82,0.79,412,0.0412,0.124,3.9,0.61,0.22,29.4,240,2.8,0.43,0.05,1.15,232,0.2,66,81.4,2,5.5,14.4,2.6,0.05,0.7,0.05,1,39.5,0.56,1.3,0.2,2.33,0.17,3.46,15.2,3.6,1.13,3.76,3.17,0.64,1.74,0.25,2,,,,,,,,,,,,,,,,,,,,
42150,OVD014,95.8,95.9,0.007,0.01,0.004,2,7.31,1,161,0.6,0.04,5.39,0.15,68.7,549,369,,7.55,11.9,0.4,9.4,33,9.3,15.4194,1217,0.57,1.63,650,0.065,0.082,3,0.48,0.1,21.8,426,1,0.52,0.04,0.33,133,0.1,72,103,2,4.7,16.2,3.5,0.05,0.8,0.06,1,22.1,0.48,1.5,0.23,2.44,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42311,OVD015,94.82,,0.001,0.01,0.001,2,8.33,6,225,1,0.06,0.97,0.04,30.1,172,103,,8.34,20.9,1.23,8.2,89,2.98,4.94084,1224,0.43,1.73,88,0.0088,0.1835,10.5,0.54,0.19,30.5,416,1.6,0.54,0.12,1.01,188,0.4,109,83.6,2,15.1,17.3,4.7,0.08,1.1,0.05,1,22.2,0.71,2.1,0.33,2.96,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42317,OVD015,102.4,,0.001,0.01,0.001,2,6.6,14,154,0.7,0.04,5.14,0.05,37.7,322,60.1,,6.4,15.6,0.58,15.1,77,3.87,6.41646,949,3.4,1.98,91,0.0091,0.1305,2.4,0.21,0.32,29.1,548,1.8,0.59,0.06,0.58,188,0.1,72,64.3,2,12.2,17,3.8,0.06,0.7,0.05,1,35,0.62,1.6,0.25,2.33,0.25,3.41,14.4,3.6,1.07,3.77,3.21,0.74,1.78,0.29,2,,,,,,,,,,,,,,,,,,,,
42318,OVD015,105.1,105.2,0.001,0.01,0.001,2,6.31,2,164,0.6,0.04,5.78,0.06,46.3,407,40.8,,6.42,16.3,0.49,15,37,5.63,9.334539999999999,1141,0.42,2.05,141,0.0141,0.1339,2.3,0.15,0.15,30.5,623,1.8,0.63,0.05,0.57,186,0.1,74,72.1,2,9.5,20.2,4.4,0.06,0.8,0.05,1,34.7,0.64,2,0.29,2.74,0.27,1.28,5.6,1.5,0.64,1.96,1.94,0.46,1.18,0.19,2,,,,,,,,,,,,,,,,,,,,
42326,OVD015,116.1,,0.002,0.01,0.002,2,5.44,12,184,0.6,0.04,5.38,0.09,47.5,450,205,,6.69,15.2,0.48,13.1,48,5.54,9.185319999999999,1069,0.18,1.76,265,0.0265,0.099,2.3,0.21,0.28,22.1,526,1.5,0.39,0.04,0.54,145,0.1,74,68.1,2,8,13.2,2.2,0.05,0.6,0.05,1,30.6,0.46,1.3,0.18,1.78,0.18,6.05,26.1,6.7,2,7.18,5.62,1.14,3.06,0.43,2,,,,,,,,,,,,,,,,,,,,
42349,OVD015,140.6,,0.008,0.01,0.004,2,4.48,2,123,0.5,0.1,3.41,0.12,80,864,525,,8.54,11.6,0.22,10.5,40,11.72,19.43176,1183,0.33,1.35,805,0.0805,0.0805,4.2,0.44,0.06,18.4,403,1.1,0.48,0.02,0.39,130,0.1,82,90.1,2,2.4,16.9,1.8,0.05,0.8,0.07,1,25.4,0.54,1.7,0.26,2.11,0.08,2.73,12,2.8,0.89,3.15,2.77,0.55,1.51,0.2,2,,,,,,,,,,,,,,,,,,,,
42368,OVD015,158.7,,0.002,0.01,0.002,2,5.45,3,191,0.6,0.04,3.67,0.08,82.9,697,146,,8.41,11.7,0.52,10.3,44,12.78,21.189239999999998,1373,0.44,1.24,615,0.0615,0.097,2,0.16,0.07,19.5,549,1.2,0.44,0.12,0.37,126,0.1,88,72.5,2,10.2,18.2,2.9,0.04,0.7,0.05,2,26.3,0.48,1.5,0.23,1.97,0.16,2.82,12.3,2.8,0.89,3.2,2.93,0.52,1.55,0.21,2,,,,,,,,,,,,,,,,,,,,
