#,Drillhole,X,Y,Sample interval,Sample interval,SAMPLE_ID,Petrographer,Өнгөлгөө,Year,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Field Lithology,New Lithology by Petrographic,New Lithology by iOGAS,Cr/V,Sr/Rb,PGM-ICP27,PGM-ICP27,PGM-ICP27,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,Cu-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,Ni-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,XRF76V,XRF76V,XRF76V,XRF76V,XRF76V
#,Drillhole,X,Y,Sample interval,Sample interval,SAMPLE_ID,Petrographer,Өнгөлгөө,Year,Polished thin section,Thin section,ASD,XRD,Fluid inclusion,EDS,EPMA,Field Lithology,New Lithology by Petrographic,New Lithology by iOGAS,Cr/V,Sr/Rb,Au ppm,Pt ppm,Pd ppm,Ag ppm,Al %,As ppm,Ba ppm,Be ppm,Bi ppm,Ca %,Cd ppm,Co ppm,Cr ppm,Cu ppm,Cu %,Fe %,Ga ppm,K %,La ppm,Li ppm,Mg %,MgO %,Mn ppm,Mo ppm,Na %,Ni ppm,Ni % ppm,P %,Pb ppm,S %,Sb ppm,Sc ppm,Sr ppm,Th ppm,Ti %,Tl ppm,U ppm,V ppm,W ppm,Zn ppm,Zr ppm,Se PPM,Rb PPM,Y PPM,Nb PPM,In PPM,Sn PPM,Te PPM,Cs PPM,Ce PPM,Tb PPM,Yb PPM,Lu PPM,Hf PPM,Ta PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Ge PPM,Al2O3 %,BaO %,CaO %,Cr2O3 %,Fe2O3 %,K2O %,MgO %,MnO %,Na2O %,P2O5 %,SO3 %,SiO2 %,SrO %,TiO2 %,Total %,PbO %,CuO %,TiO2 %,V2O5 %,ZnO %
33,OVD008,722102.84,5144249.78,60.3,60.3m,41029,Altantsetseg,,2023,x,,,,,,,Gabbro,Gabbro,,7.406779661016949,78.23529411764706,0.001,0.01,0.01,0.41,5.4,5,152,5,0.1,4.27,0.2,72.6,874,44,0.0044,7.72,11,0.42,9.5,31,9.69,16.066019999999998,1299,2,,423,0.0423,0.08,8,0.06,0.1,23,399,1,0.39,0.5,0.42,118,1,75,99.7,,5.1,12.6,2,0.2,1,0.22,0.8,24.6,0.43,1.4,0.23,2,0.5,3.02,14,3,0.96,3.36,2.84,0.56,1.47,0.2,1,9.93,0.02,5.81,0.13,11.8,0.33,17.37,0.19,1.13,0.19,0.24,44.77,,0.65,,0.01,0.01,0.65,0.02,0.01
34,OVD008,722102.84,5144249.78,84.5,84.5m,40763,NUM,,2023,x,,,,,,,gabbro,Gabbro,,9.01,58.113207547169814,0.053,0.04,0.01,3.24,4.7,5,120,5,1.7,3.05,1.7,250,901,5492,0.5492,13.32,9,0.31,9.2,20,10.37,17.193459999999998,1166,2,,3576,0.3576,0.07,38,3.88,0.1,13,308,1.4,0.38,0.5,0.38,100,1,101,69.9,,5.3,14.5,2,0.2,2,0.93,0.6,22.1,0.46,1.4,0.2,1,0.5,3.12,12.7,3.5,0.87,2.67,2.51,0.51,1.69,0.21,1,7.91,0.02,4.13,0.16,19.64,0.39,17.74,0.18,1.02,0.17,5.43,39.66,,0.63,,0.01,0.15,0.63,0.01,0.01
35,OVD008,722102.84,5144249.78,88.9,88.9m,41030,Altantsetseg,,2023,x,,,,,,,Gabbro,Gabbro,,4.780487804878049,81.47540983606558,0.018,0.02,0.01,1.33,6.18,5,167,5,0.4,3.78,0.7,175,588,2593,0.2593,10.27,13,0.34,12.1,38,7.63,12.65054,1066,2,,2542,0.2542,0.11,27,2.57,0.1,17,497,1.3,0.55,0.5,0.57,123,1,83,43.8,,6.1,20.8,3,0.2,2,0.33,0.9,29.3,0.61,1.9,0.27,2,0.5,4.21,17.5,4.5,1.13,3.88,3.86,0.67,2.52,0.33,2,10.32,0.05,5.11,0.1,15.63,0.41,13.2,0.17,1.55,0.27,4.17,43.22,,0.82,,0.01,0.05,0.82,0.01,0.01
36,OVD008,722102.84,5144249.78,90.5,90.5m,41024,Altantsetseg,,2023,x,,,,,,,Gabbro,Diorite,,0.5545454545454546,17.56302521008403,0.053,0.06,0.01,6.25,6.8,9,107,5,3.7,1.36,3.7,397,61,10000,1.2,20.17,17,0.51,7.1,65,1.41,2.33778,786,3,,9086,0.9086,0.01,101,10.98,0.1,14,209,1.5,0.39,0.5,0.97,110,3,116,27.7,,11.9,20.6,3,0.5,4,2.11,0.8,17.3,0.54,2.1,0.32,3,0.5,2.57,10.7,3.1,0.77,2.95,3.68,0.66,2.55,0.35,2,11.94,0.03,1.81,0.01,29.55,0.67,2.69,0.12,3.67,0.09,7.23,38.28,,0.59,,0.01,0.08,0.59,0.01,0.01
37,OVD009,722162.29,5144172.01,11.3,11.3m,41022,Altantsetseg,,2023,x,,,,,,,Gabbro,Gabbrodiorite,,2.439655172413793,34.666666666666664,0.001,0.01,0.44,0.19,7.26,6,278,0.7,0.04,5.4,0.03,34.2,283,30.1,0.00301,5.65,15.2,0.43,16.3,67,4.32,7.16256,790,0.9,2.23,140,0.014,0.1036,3.2,0.01,0.1,20.6,312,1.4,0.35,0.05,0.57,116,0.1,64,59,2,9,13.7,2.4,0.04,0.4,0.05,1,37.6,0.49,1.3,0.18,0.5,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,OVD009,722162.29,5144172.01,17.2,17.2m,41019,Altantsetseg,,2023,x,,,,,,,Gabbro,Gabbrodiorite,,1.7544910179640718,72.94871794871796,0.001,0.01,0.01,0.02,7.62,2,142,0.6,0.04,6.47,0.06,44.8,293,42.4,0.00424,6.82,15.7,0.47,12.1,30,6.08,10.080639999999999,1074,0.73,2.26,177,0.0177,0.0974,1.9,0.01,0.05,29.7,569,1,0.54,0.04,0.43,167,0.1,69,72.8,2,7.8,17.5,3,0.05,0.5,0.05,1,29.7,0.59,1.8,0.26,0.54,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,OVD009,722162.29,5144172.01,72,72m,40915,MIRES,,2023,x,,,,,eds,,gossan,Gabbro,,2.497005988023952,105.15625,0.001,0.01,0.001,0.02,7.26,3,174,0.6,0.04,5.77,0.07,51.1,417,44.2,0.00442,7.25,15.4,0.45,13.9,20,7.15,11.8547,1269,0.63,2.38,203,0.0203,0.1167,1.6,0.09,0.05,29.1,673,1.2,0.63,0.02,0.53,167,0.1,78,84.6,2,6.4,20.7,3.7,0.05,0.6,0.05,1,34.2,0.66,2.1,0.3,0.58,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,OVD009,722162.29,5144172.01,80.8,80.8m,41018,Altantsetseg,,2023,x,,,,,,,Gabbro,Gabbrodiorite,,2.8025477707006368,95.53846153846153,0.001,0.01,0.001,0.02,6.03,1,187,0.6,0.04,5.17,0.06,51.8,440,36.3,0.0036299999999999995,7.07,13.9,0.49,13.1,21,7.36,12.20288,1233,0.66,2.3,210,0.021,0.0963,1.9,0.11,0.06,31.7,621,1.4,0.5,0.03,0.45,157,0.1,79,87.3,2,6.5,19.7,3.5,0.05,0.6,0.05,1,30.9,0.63,2,0.3,0.57,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,OVD009,722162.29,5144172.01,126.7,126.7m,41021,Altantsetseg,,2023,x,,,,,,,Gabbro,Gabbrodiorite,,6.254237288135593,187.27272727272725,0.001,0.01,0.001,0.02,6.15,21,98,5,0.1,5.88,0.2,71.1,738,232,0.0232,7.27,12,0.1,13,41,8.98,14.88884,1154,2,,500,0.05,0.1,10,0.24,0.1,19,412,1.6,0.43,0.5,0.53,118,1,74,83.3,,2.2,16.3,3,0.2,1,0.05,0.2,28.6,0.52,1.7,0.23,2,0.5,3.6,16,3.4,1.13,3.37,3.03,0.61,1.47,0.28,1,10.48,0.02,7.54,0.1,9.48,0.13,14.29,0.15,2.14,0.2,0.5,43.51,,0.64,,0.01,0.02,0.64,0.01,0.01
42,OVD009,722162.29,5144172.01,143,143m,41020,Altantsetseg,,2023,x,,,,,,,Gabbro,габбронорит ,Peridotite,13.02127659574468,46.11940298507463,0.046,0.04,0.048,2.74,4.24,5,107,5,1.4,2.97,1.3,300,1224,5553,0.5553,15.6,9,0.23,8.4,20,12.1,20.061799999999998,1345,2,,4923,0.4923,0.07,29,4.81,0.1,14,309,0.8,0.35,0.5,0.28,94,1,108,59.2,,6.7,11.3,2,0.2,1,1.01,1.2,19.8,0.38,1.2,0.16,2,0.5,2.57,10.6,2.6,0.8,2.67,2.3,0.47,1.13,0.17,1,7.45,0.11,3.95,0.16,20.9,0.39,18.82,0.18,0.47,0.16,6.2,37.87,,0.54,,0.01,0.6,0.54,0.01,0.01
43,OVD009,722162.29,5144172.01,149.5,149.5m,41015,Altantsetseg,,2023,x,,,,,,,Gabbro,Gabbrodiorite,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,OVD009,722162.29,5144172.01,149.8,149.8m,41033,Altantsetseg,,2023,x,,,,,,,Gabbro,Gabbro,Foid Gabbro,4.658914728682171,41.666666666666664,0.013,0.01,0.017,0.77,6.56,8,162,5,0.2,3.63,0.6,116,601,1419,0.1419,8.22,14,0.32,10.8,27,7.03,11.65574,1117,2,,1432,0.1432,0.08,12,1.32,0.1,18,375,0.8,0.43,0.5,0.44,129,1,78,81.3,,9,16.1,3,0.2,1,0.3,0.5,25.4,0.51,1.8,0.28,2,0.5,3.35,15.1,3,1.09,3.66,3.16,0.64,1.57,0.24,1,13.44,0.03,5.56,0.1,12.25,0.63,12.78,0.18,2.54,0.19,2.81,43.98,,0.75,,0.01,0.2,0.75,0.02,0.01
45,OVD009,722162.29,5144172.01,151.6,151.6m,41023,Altantsetseg,,2023,x,,,,,,,Gabbro,Gabbrodiorite,Alkalic Gabbro,4.178571428571429,35.945945945945944,0.023,0.03,0.033,1.54,6.76,5,148,5,0.7,4.14,0.8,157,468,2675,0.2675,8.45,16,0.33,13.3,22,5.21,8.63818,1072,2,,2254,0.2254,0.08,11,2.31,0.1,18,399,1,0.4,0.5,0.5,112,1,71,87.7,,11.1,16.9,3,0.2,1,0.66,0.3,30.3,0.53,1.9,0.24,3,0.5,3.96,17,3.7,1.19,3.74,3.43,0.68,1.51,0.27,1,13.7,0.05,6.32,0.06,12.53,0.67,9.7,0.16,2.66,0.19,4.17,45.14,,0.67,,0.01,0.3,0.67,0.01,0.01
46,OVD009,722162.29,5144172.01,161,161m,41017,Altantsetseg,,2023,x,,,,,,,Gabbro,Gabbrodiorite,,11.354166666666666,39,0.044,0.04,0.053,2.51,4.43,5,57,5,1.1,2.04,1.2,220,1090,4165,0.4165,12.85,10,0.1,7.7,28,13.2,21.885599999999997,1327,2,,3870,0.387,0.08,13,3.06,0.1,15,156,0.5,0.42,0.5,0.28,96,1,102,68.7,,4,12.5,3,0.2,1,0.98,1.1,18.4,0.41,1.4,0.18,2,0.5,2.42,10.4,2.6,0.81,2.65,2.64,0.51,1.33,0.17,1,8.02,0.06,2.86,0.15,17.36,0.24,21.39,0.18,0.12,0.15,4.95,40.02,,0.63,,0.01,0.41,0.63,0.01,0.01
47,OVD009,722162.29,5144172.01,171.5,171.5m,41016,Altantsetseg,,2023,x,,,,,,,Gabbro,Peridodtite,,18.864406779661017,89.54545454545453,0.233,0.14,0.193,11,2.97,5,42,5,4.8,2.11,4.5,443,1113,10000,1.68,24.74,6,0.1,3.3,10,13.15,21.802699999999998,1427,2,,1.2,0.00011999999999999999,0.05,101,9.69,0.1,10,197,0.2,0.21,0.5,0.1,59,1,153,35,,2.2,5.6,1,0.3,4,4.13,0.5,8.1,0.17,0.6,0.09,1,0.5,1.04,4.8,1,0.38,1.12,1.25,0.21,0.55,0.09,1,4.23,0.01,2.75,0.15,29.33,0.13,18.87,0.18,0.14,0.06,7.24,28.47,,0.29,,0.01,0.19,0.29,0.01,0.01
48,OVD009,722162.29,5144172.01,190.8,190.8m,41034,Altantsetseg,,2023,x,,,,,,,Gabbro,Gabbro,,11.864197530864198,50.63492063492064,0.146,0.11,0.133,7.45,4.14,15,99,5,3.2,2.64,3,254,961,9775,0.9775,14.72,9,0.15,7.2,19,12.75,21.139499999999998,1301,2,,5333,0.5333,0.07,64,4.06,0.1,12,319,0.5,0.33,0.5,0.26,81,1,114,58.9,,6.3,10,3,0.2,3,2.69,0.8,16.5,0.32,1,0.18,2,0.5,2.13,9.5,2.2,0.7,2.23,1.97,0.4,1.19,0.17,1,7.09,0.08,3.61,0.13,19.79,0.33,20.06,0.17,0.7,0.15,5.41,37,,0.49,,0.01,0.5,0.49,0.01,0.01
49,OVD009,722162.29,5144172.01,195.2,195.2m,41014,Altantsetseg,,2023,x,,,,,,,Gabbro,Peridodtite,,10.21505376344086,39.047619047619044,0.03,0.02,0.03,0.8,4.38,13,69,5,0.3,3.73,0.5,136,950,1509,0.1509,10.14,10,0.1,8.9,41,12.53,20.774739999999998,1506,2,,1857,0.1857,0.08,6,1.56,0.1,14,328,0.6,0.39,0.5,0.37,93,1,95,67.7,,8.4,13.5,3,0.2,1,0.31,1.7,20.7,0.4,1.4,0.21,2,0.5,2.7,12.3,2.6,0.89,2.95,2.8,0.56,1.27,0.24,2,7.65,0.02,5.3,0.15,13.74,0.35,20.36,0.21,0.44,0.2,3.65,40.31,,0.67,,0.01,0.17,0.67,0.02,0.01
50,CRS01A,725237.26,5150570.09,81,CRS01A-81,42899,,,2024,X,,x,,x,,,Meta sediment,altered gneiss,,,,0.05,,,2,7.25,1,308,0.1,0.19,0.11,0.17,78.2,375,1640,0.164,11.93,14,0.11,1.4,31,7.39,12.252619999999999,1124,0.95,0.08,94,0.0094,0.005,7.7,3.05,0.18,40.5,18.4,0.9,0.19,0.42,0.31,252,0.5,185,21.3,5,12.7,7.2,3.3,0.08,0.3,0.25,2,4.32,0.16,1,0.16,0.73,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,CRS01A,725237.26,5150570.09,184.32,CRS01A-184.32,43161,,,2024,X,,x,,,,,Meta sediment,Meta sediment,,,,0.14,,,2,4.54,5,261,0.1,0.3,0.56,0.15,107,379,2140,0.214,11.49,13,0.37,1.3,51,7.21,11.95418,1071,3.44,0.14,128,0.0128,0.005,9.6,3.21,0.05,34,36.8,0.3,0.17,0.61,0.23,244,0.5,69,13.9,14,13.6,6,2.7,0.06,0.3,0.38,2,3.2,0.13,0.9,0.14,0.48,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,CRS01A,725237.26,5150570.09,104.4,CRS01A-104.4,42923,,,2024,X,,x,,x,,,Meta sediment,Quartz vein,,1.1185185185185185,42.25,0.19,,,2,3.8,2,9828,0.1,0.33,0.1,0.48,49.1,151,2880,0.288,12.6,8.2,0.12,0.7,21,2.95,4.8911,605,14.2,0.05,60,0.006,0.005,29.7,6.53,0.17,18.8,169,0.2,0.11,0.46,0.31,135,0.5,123,12,8,4,3.2,1.6,0.13,0.3,0.7,1,2.12,0.06,0.5,0.07,0.41,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,CRS01A,725237.26,5150570.09,111.8,CRS01A-111.8,42931,,,2024,X,,x,,,,,Rhyolite,Rhyolite,,,,0.01,,,2,7.87,2,436,2.7,0.21,0.67,0.04,2.1,16,42.9,,1.61,20.9,0.61,15.7,9,0.81,1.34298,317,0.35,4.47,12,0.0012,0.0426,42.9,0.03,0.11,3.2,100,4.7,0.15,0.46,1.96,18,0.6,44,94.5,2,5.4,4.3,7.1,0.04,1.3,0.05,1,33.3,0.21,0.3,0.05,3.01,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,CRS01A,725237.26,5150570.09,114.8,CRS01A-114.8,42936,,,2024,X,,x,,x,,,Meta sediment,Meta sediment,,,,0.19,,,2,7.42,2,544,0.4,0.36,0.17,0.71,79.4,278,3970,0.397,13.64,12.2,0.42,2,38,5.28,8.75424,981,17.1,0.14,77,0.0077,0.005,19.3,5.43,0.05,37.2,26,1.2,0.16,0.55,0.71,226,5.5,351,20.8,17,14.9,6.6,3.2,0.16,0.3,1.07,3,4.7,0.15,1.1,0.19,1.09,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CRS01A,725237.26,5150570.09,124.1,CRS01A-124.1,42951,,,2024,X,,x,,x,,,Meta sediment,Meta sediment,,,,0.24,,,2,7.24,2,680,0.1,0.41,0.24,0.52,48.9,194,1740,0.174,10.9,11.9,0.37,1.2,42,6.34,10.511719999999999,864,7.27,0.17,68,0.0068,0.005,22.1,4.5,0.05,35.8,60.7,0.6,0.13,0.84,0.42,217,0.5,331,18.9,9,12.7,6.2,1.7,0.13,0.3,0.5,3,3.25,0.14,1,0.16,0.69,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,CRS01A,725237.26,5150570.09,187.8,CRS01A-187.8,43166,,,2024,X,,x,,x,,,Meta sediment,Meta sediment,,,,0.19,,,2,4.25,5,71,0.1,0.53,0.19,0.47,122,428,4890,0.489,12.43,13.2,0.24,1.3,47,5.93,9.83194,1046,1.73,0.16,112,0.0112,0.005,9.8,3.83,0.05,35.5,32.2,0.5,0.17,0.52,0.29,253,0.3,64,16.2,19,9.6,6,3.1,0.06,0.3,0.43,2,3.04,0.13,1,0.16,0.6,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,CRS01A,725237.26,5150570.09,188.4,CRS01A-188.4,43167,,,2024,X,,x,,x,,,Meta sediment,Serpentinite,,,,0.18,,,3,7.87,7,72,0.2,0.62,0.2,0.66,90.1,382,6730,0.673,13.76,13.6,0.32,1.1,53,7.02,11.639159999999999,1316,1.39,0.13,81,0.0081,0.005,8.6,5.7,0.06,33.6,23.9,0.7,0.15,0.73,0.19,236,0.9,78,17.7,21,11.4,5.6,2.2,0.07,0.3,0.4,2,2.22,0.13,0.9,0.15,0.58,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,CRS01A,725237.26,5150570.09,41.4,CRS01A-41.4,42851,,,2024,X,,x,,x,,,Meta sediment,gneiss,,,,0.23,,,2,7.36,1,319,0.1,0.3,0.12,6.01,67.6,338,1350,0.135,13.78,12.4,0.09,2.1,32,6.62,10.975959999999999,917,2.7,0.07,93,0.0093,0.005,30.2,4.36,0.07,33,18.7,0.3,0.18,0.32,0.51,218,0.4,1274,16.7,4,3.4,5.2,3.6,0.15,0.3,0.43,2,5.46,0.13,0.8,0.12,0.7,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,CRS01A,725237.26,5150570.09,53.4,CRS01A-53.4,42865,,,2024,X,,x,,x,,,Meta sediment,gneiss,,,,0.39,,,2,6.89,1,2583,0.1,0.22,0.1,6.8,65.5,256,3940,0.394,13.1,11.8,0.12,1.6,24,6.34,10.511719999999999,827,5.53,0.08,83,0.0083,0.005,26.2,2.94,0.36,29.7,90.2,0.3,0.17,0.6,0.56,206,0.3,1451,19.2,2,3.4,4,2.6,0.17,0.3,0.24,2,4.37,0.12,0.5,0.1,0.58,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,CRS01A,725237.26,5150570.09,61.3,CRS01A-61.3,42874,,,2024,X,,x,x,x,,,Meta sediment,,,,,0.17,,,2,5.42,3,623,0.1,0.18,2.52,1.54,50.8,175,1470,0.147,11.66,8.7,0.38,2.5,18,7.23,11.98734,1645,8.31,0.08,59,0.0059,0.005,23.8,3.85,0.25,22.4,67.9,0.2,0.13,0.35,0.99,167,3.6,555,16,3,8.4,6.8,2.2,0.17,0.6,1.96,1,4.8,0.16,0.7,0.12,0.54,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,CRS01A,725237.26,5150570.09,90.5,CRS01A-90.5,42908,,,2024,X,,x,,x,,,Meta sediment,Serpentinite,,1.3043478260869565,1.5923076923076922,0.27,,,2,5.29,2,1183,0.1,0.55,0.06,0.46,69.3,210,3880,0.388,11.41,9.1,0.25,0.9,27,3.63,6.01854,560,4.71,0.07,60,0.006,0.005,24.4,4.94,0.07,27.7,20.7,0.8,0.12,0.43,0.3,161,0.6,177,18.2,10,13,4.5,1.7,0.14,0.3,0.96,2,2.42,0.1,0.7,0.12,0.67,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,CRS02,725372,5150600.8,11.4,11.4,43523,SHUTIS,,2025,,,,,,,,Rhyolite,Хувирсан пироксенит,,0.8333333333333334,6.575,0.01,0.01,0.01,0.5,7.64,5,830,2.3,2,1.45,0.5,1,10,3,,1.06,20,1.36,20,10,0.45,0.7461,252,1,4.21,4,,290,54,0.02,5,3,263,20,0.11,10,10,12,10,26,80,10,40,10,5,,10,10,,50,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,CRS02,725372,5150600.8,28,28,43542,SHUTIS,,2025,+,,,,,,,Rhyolite,Риолит‑порфир,,0.5,4.62,0.01,0.01,0.01,0.5,7.04,5,900,2.6,2,0.84,0.5,1,9,2,,1.1,20,1.92,20,10,0.53,0.87874,316,1,3.88,9,,320,51,0.02,5,4,231,20,0.13,10,10,18,10,40,78,10,50,10,5,,10,10,,50,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,CRS02,725372,5150600.8,38.2,38.2,43554,SHUTIS,,2025,,,,,,,,Listvenite,Кварц‑карбонат метасоматит,,14.675324675324676,5.4,0.01,0.01,0.01,0.5,2.63,5,20,0.8,2,5.32,0.5,73,1130,27,,4.07,10,0.07,10,20,8.46,14.02668,1395,1,0.17,929,,150,4,0.07,5,13,108,20,0.09,10,10,77,10,47,12,10,20,10,6,,10,10,,50,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,CRS02,725372,5150600.8,54.7,54.7,43569,SHUTIS,,2025,,,,,,,,Metasediment,метасоматит,,0.2631578947368421,3.1,0.01,0.01,0.01,0.5,5.17,7,10,0.5,2,3.64,0.5,10,5,46,,3.64,10,0.19,10,10,2,3.316,1405,2,3.21,32,,260,2,0.31,5,13,62,20,0.2,10,10,19,10,64,20,10,20,10,5,,10,10,,50,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,CRS02,725372,5150600.8,55,55,43570,SHUTIS,,2025,,,,,,,,Metasediment,Плагиоклаз-кварц- кальцитын метасоматит,,0.3275862068965517,2.95,0.01,0.01,0.01,0.5,4.44,12,10,0.5,2,2.1,0.5,15,19,58,,3.82,10,0.18,10,10,1.14,1.8901199999999998,1955,3,2.52,37,,1380,5,0.57,5,13,59,20,0.17,10,10,58,10,53,18,10,20,20,5,,10,10,,50,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,CRS02,725372,5150600.8,89.9,89.9,43598,SHUTIS,,2025,,,,,,,,Breccia ,Амфиболит,,2.170854271356784,7.266666666666667,0.01,0.01,0.01,0.5,7.12,5,230,0.9,2,5.98,0.5,36,432,56,,5.18,10,0.55,10,10,4.7,7.7926,2110,1,2.5,200,,520,10,0.06,5,35,218,20,0.24,10,10,199,10,60,28,10,30,10,5,,10,10,,60,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,CRS03,724869,5150551,17.7,17.7,43632,SHUTIS,,2025,+,,,,,,,Metasediment ,Пироксент роговик,,0.9223744292237442,4.6,0.01,0.01,0.02,0.5,6.6,5,20,0.5,2,2.73,0.5,37,202,290,,6.66,10,0.08,10,20,4.82,7.99156,1535,1,2.12,76,,140,2,0.78,5,34,92,20,0.17,10,10,219,10,108,19,10,20,10,5,,10,10,,50,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,CRS03,724869,5150551,51.8,51.8,43664,SHUTIS,,2025,,,,,,,,Epidote vein,Mетасоматоз хувиралд хүчтэй орсон андезидацит,,1.4285714285714286,8.9,0.01,0.01,0.01,0.5,4.85,10,60,0.5,2,9.09,0.5,21,250,8,,4.37,10,0.12,10,10,2.71,4.49318,1175,1,0.29,38,,70,3,0.01,5,27,178,20,0.09,10,10,175,10,15,9,10,20,10,5,,10,10,,50,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,CRS03,724869,5150551,89.4,89.4,43689,SHUTIS,,2025,,,,,,,,Metasediment,кварц-карбонат-эпидотийн судлаар зүсэгдсэн эпидот хлоритын метасоматит,,0.2816326530612245,7.35,0.01,0.01,0.01,0.5,7.36,5,30,0.5,2,6.08,0.5,33,69,7,,6.24,10,0.15,10,10,3.39,5.62062,913,1,2.57,41,,150,2,0.01,5,39,147,20,0.18,10,10,245,10,43,16,10,20,10,5,,10,10,,50,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,OVD010,722252.68,5144221.89,97.7,OVD010-97.7,42513,,ok,2024,,X,,,,,,Diorite,Gabbrodiorite,,1.4134615384615385,228.57142857142856,0.001,0.01,0.005,2,8.82,6,42,0.5,0.08,6.63,0.07,42.2,441,106,,9.08,19.7,0.12,12.4,136,5.59,9.26822,1799,0.62,1.71,131,0.0131,0.1026,2.8,0.83,0.16,41.6,480,2.4,0.73,0.02,1.06,312,0.7,95,93.3,2,2.1,18.7,3.2,0.08,1.1,0.05,1,31.7,0.72,1.8,0.24,3.21,0.27,2.13,9.5,2.2,0.7,2.23,1.97,0.4,1.19,0.17,1,,,,,,,,,,,,,,,,,,,,
72,OVD010,722252.68,5144221.89,226.3,OVD010-226.3,42539,,,2024,,X,,,,,,Siltstone & Sandstone,Gabbro,,0.5617283950617284,29.514563106796114,0.003,0.01,0.002,2,9.5,7,271,0.9,0.04,1.81,0.09,24.1,91,82.5,,6.41,19.8,1.21,3,75,1.94,3.2165199999999996,1173,0.57,3.65,43,0.0043,0.0461,5.2,1.12,0.38,24.9,304,0.8,0.58,0.12,0.37,162,0.3,91,80.9,2,10.3,15,2.6,0.07,1,0.05,1,8.01,0.47,1.8,0.25,2.53,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,OVD010,722252.68,5144221.89,305.6,OVD010-305.6,42553,,,2024,X,,,,,,,Gabbro,Gabbrodiorite,,1.8734939759036144,144,0.004,0.01,0.003,3,8.57,6,287,0.6,0.04,5.28,0.06,33.7,311,47.3,,5.43,15.4,0.38,11.7,80,5.23,8.67134,966,0.34,2.16,238,0.0238,0.0798,1.9,0.59,0.29,24.7,864,1.8,0.41,0.02,0.63,166,0.1,54,65.5,2,6,14.5,2.1,0.05,0.5,0.05,2,28.1,0.47,1.2,0.2,1.71,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
