#,Sample Number ,ioGAS number,Arrived chips,Drillhole,From,To,Sample interval,Field Lithology description,Petrographer,Sample type,Sample type,Sample type,Sample type,Sample type,Sample type,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,,,Al2O3 %,BaO %,CaO %,Cr2O3 %,Fe2O3 %,K2O %,MgO %,MnO %,Na2O %,P2O5 %,SO3 %,SiO2 %,SrO %,TiO2 %,PbO %,CuO %,V2O5 %,ZnO %,Total %,Ni PPM,Cu PPM,Au PPM,Pt PPM,Pd PPM,Ag PPM,Al %,As PPM,Ba PPM,Be PPM,Bi PPM,Ca %,Cd PPM,Co PPM,Cr PPM,Fe %,Ga PPM,K %,Li PPM,Mg %,Mn PPM,Mo PPM,Na %,P %,Pb PPM,S %,Sb PPM,Sr PPM,Th PPM,Ti %,Tl PPM,U PPM,V PPM,W PPM,Zn PPM,Zr PPM,Se PPM,Rb PPM,Nb PPM,In PPM,Sn PPM,Te PPM,Cs PPM,Hf PPM,Ge PPM,Ta PPM,Y PPM,Sc PPM,La PPM,Ce PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Tb PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Yb PPM,Lu PPM
#,Sample Number ,ioGAS number,Arrived chips,Drillhole,From,To,Sample interval,Field Lithology description,Petrographer,Polished thin section,ASD,Fluid inclusion,Sulphur analysis,EDS,EPMA,Micro - description,Texture,Rock forming minerals,Alteration,Ore minerals and paragenesis,Brief petrographic description,,,Microscope - Rock name,Sc vs Al plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,41018,41,,OVD-009,80.8m,,,Gabbro,Khanlab,x,,,,,,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry),"Nevadite porphyritic like, sub-ophitic, poikiloophitic","Alt Pl-55-60%, Hb-35-40%, Cpx-few, Bt-3-5%",Talc-Soss-Act-Chl-Ser-Carb,illm-Chromite-Tnt-Py-Cpy,generally similar rock as OVD009-17.2,,,Porphyritic Px-Hb Gabbro,Mafic (Pyroxenite),,,,,,,,,,,,,,,,,,,,210,36.3,0.001,0.01,0.001,,6.03,,187,0.6,,5.17,0.06,51.8,440,7.07,13.9,0.49,21,7.36,1233,0.66,2.3,0.0963,1.9,0.11,0.06,621,1.4,0.5,0.03,0.45,157,,79,87.3,,6.5,3.5,0.05,0.6,,,0.57,,0.26,19.7,31.7,13.1,30.9,,,,,,0.63,,,,,2,0.3
35,41019,39,,OVD-009,17.2m,,,Gabbro,Khanlab,x,,,,,,Porphyritic fine-grained pyroxene-hornblende gabbro (Altered gabbro porphyry) ,"Nevadite porphyritic, sub-ophitic, poikiloophitic","Alt Pl-55-60%, Hb-35-40%, Qtz-5-8%",Soss-Act-Mus-Ser-Chl-Carb,illm-Mag-Chromite-Tnt-Py-Cpy-Covelline,same rock as above,,,Porphyritic Px-Hb Gabbro,Mafic (Pyroxenite),,,,,,,,,,,,,,,,,,,,177,42.4,0.001,0.01,0.01,,7.62,2,142,0.6,,6.47,0.06,44.8,293,6.82,15.7,0.47,30,6.08,1074,0.73,2.26,0.0974,1.9,,,569,1,0.54,0.04,0.43,167,,69,72.8,,7.8,3,0.05,0.5,,,0.54,,0.21,17.5,29.7,12.1,29.7,,,,,,0.59,,,,,1.8,0.26
36,41020,43,,OVD-009,143m,,,Gabbro,Khanlab,x,,,,,,Mineralized porphyritic fine grained hornblende-olivine-pyroxene melanocratic gabbro,"Sub-ophitic, poikiloophitic","Hb-20-25%, Cpx-15-20%, Alt Ol-15-20%, Bt-5-10%",Serp-Talc-Act-Chl-Bt-Ser-Mus,illm-Mag-Pn-Chromite-Po-Cpy,,,,Ol-Gabbro or Hb-Perdidotite,Ultramafic (Harzburgite/Dunite),7.45,0.11,3.95,0.16,20.9,0.39,18.82,0.18,0.47,0.16,6.2,37.87,,0.54,0.01,0.6,,,98.35000000000001,4923,5553,0.046,0.04,0.048,2.74,4.24,,107,,1.4,2.97,1.3,300,1224,15.6,9,0.23,20,12.1,1345,,,0.07,29,4.81,,309,0.8,0.35,,0.28,94,,108,59.2,,6.7,2,,1,1.01,1.2,2,1,,11.3,14,8.4,19.8,2.57,10.6,2.6,0.8,2.67,0.38,2.3,0.47,1.13,0.17,1.2,0.16
37,41021,42,,OVD-009,126.7m,,,Gabbro,Khanlab,x,,,,,,"Schistose, carbonatized and intense altered gabbrodiorite-porphyry (Metasomatite by gabbrodiorite porphyry) ","Relict porphyritic, microgranoblast","Alt Pl-30-35%, Ser+Chl Pseudo-30-35%, ",Ser-Chl-Carb-Qtz,illm-Py-Tnt,Strong carbonatization occurred,,,Porphyritic Gabbrodiorite,Mafic (Pyroxenite),10.48,0.02,7.54,0.1,9.48,0.13,14.29,0.15,2.14,0.2,0.5,43.51,,0.64,,0.02,0.01,,89.85,500,231.99999999999997,0.001,0.01,0.001,,6.15,21,98,,,5.88,,71.1,738,7.27,12,,41,8.98,1154,,,0.1,10,0.24,,412,1.6,0.43,,0.53,118,,74,83.3,,2.2,3,,,,0.2,2,1,,16.3,19,13,28.6,3.6,16,3.4,1.13,3.37,0.52,3.03,0.61,1.47,0.28,1.7,0.23
38,41022,38,,OVD-009,11.3m,,,Gabbro,Khanlab,x,,,,,,Altered gabbrodiorite porphyry,"Porphyritic, sub-ophitic, poikiloophitic","Alt Pl-60-65%, Alt Hb-20-25%, Alt Bt-10-15%, Qtz-5-7%",Serp-Chl-Act-Ser-Leuc-Carb-Qtz,illm-Chromite-Py-Goethite-Hydrogoethite,"Hb are strongly altered to chlorite actinolite, sometimes completely replaced by serpentine and chlorite. ",,,Porphyritic Gabbrodiorite,Mafic (Pyroxenite),,,,,,,,,,,,,,,,,,,,140,30.1,0.001,0.01,0.44,0.19,7.26,6,278,0.7,,5.4,0.03,34.2,283,5.65,15.2,0.43,67,4.32,790,0.9,2.23,0.1036,3.2,,0.1,312,1.4,0.35,0.05,0.57,116,0.1,64,59,,9,2.4,0.04,0.4,,,0.5,,0.18,13.7,20.6,16.3,37.6,,,,,,0.49,,,,,1.3,0.18
39,41023,46,,OVD-009,151.6m,,,Gabbro,Khanlab,x,,,,,,Porphyritic fine grained pyroxene hornblende  gabbro (Altered gabbro porphyry),"Porphyritic, sub-ophitic, poikiloophitic","Alt Pl-55-60%, Hb-25-30%, Cpx-5-10%",Act-Chl-Epi-Mus-Ser-Carb-Qtz,illm-Tnt-Py-Cpy,,,,Porphyritic Px-Hb Gabbro,Mafic (Pyroxenite),13.7,0.05,6.32,0.06,12.53,0.67,9.7,0.16,2.66,0.19,4.17,45.14,,0.67,,0.3,0.01,,97,2254,2675,0.023,0.03,0.033,1.54,6.76,,148,,0.7,4.14,0.8,157,468,8.45,16,0.33,22,5.21,1072,,,0.08,11,2.31,,399,1,0.4,,0.5,112,,71,87.7,,11.1,3,,1,0.66,0.3,3,1,,16.9,18,13.3,30.3,3.96,17,3.7,1.19,3.74,0.53,3.43,0.68,1.51,0.27,1.9,0.24
40,41024,37,,OVD-008,90.5m,,,Gabbro,Khanlab,x,,,,,,Intense mineralized quartz diorite porphyry (Andesite-dacite),"Porphyritic, hypidiomorphic","Alt Pl-75-80%, Alt Bt-10-15%, Qtz-5-10%",Ser-Pelite-Chl-Mus-Epi-Qtz,Mag-Py-Po-Cpy,"Pl altered by sericite, carbonate, pelite. Intergranular space between Pl filled with Bt-muscovite pseudomorphs after mafic minerals",,,Porphyritic Qtz Diorite,Mafic (Pyroxenite),11.94,0.03,1.81,,29.55,0.67,2.69,0.12,3.67,0.09,7.23,38.28,,0.59,,0.08,0.01,,97.35000000000001,9086,12000,0.053,0.06,0.01,6.25,6.8,9,107,,3.7,1.36,3.7,397,61,20.17,17,0.51,65,1.41,786,3,,,101,10.98,,209,1.5,0.39,,0.97,110,3,116,27.7,,11.9,3,0.5,4,2.11,0.8,3,2,,20.6,14,7.1,17.3,2.57,10.7,3.1,0.77,2.95,0.54,3.68,0.66,2.55,0.35,2.1,0.32
41,41025,28,,OVD-007,58.2m,,,Gabbro,Khanlab,x,,,,,,Altered melanocratic microgabbro ,"Panidiomorphic, poikiloophitic","Cpx-40-45%, Alt Pl-40-45%, Hb-10-15%",Soss-Act-Chl-Epi-Ser,Mag-illm-Py-Po-Cpy,,,,Gabbro,Mafic (Pyroxenite),8.8,0.06,5.28,0.11,11.81,0.33,18.15,0.2,1.2,0.15,1.57,44.24,,0.54,,0.09,0.02,,93.09000000000002,953,381,0.007,0.01,0.012,1.18,5.2,,109,,,3.25,,109,1150,8.98,14,0.76,33,12.46,1292,,,0.08,42,0.83,0.3,314,0.7,0.45,,0.4,114,,94,75.2,,9.4,3,0.2,,0.15,2.4,2,3,,14.5,16,8.7,21.4,2.94,12.2,2.9,0.94,3.19,0.52,2.9,0.57,1.5,0.22,1.5,0.21
42,41026,29,,OVD-007,87.8m,,,Gabbro,Khanlab,x,,,,,,Altered gabbro porphyry ,"Porphyritic, sub-ophitic, poikiloophitic","Alt Pl-55-60%, Hb-35-40%, Bt-5-8%, Cpx-few, Qtz-1-3%",Talc-Act-Chl-Mus-Pelite-Serc-Carb,illm-Mag-Py-Cpy,Pl composition is intermediate to mafic calcic-plagioclase. ,,,Porphyritic Gabbro,Gabbroic Rocks,16.8,0.06,4.5,0.04,10.22,1.12,7.06,0.16,2.32,0.3,1.43,50.09,,1,,0.05,0.02,,96.16999999999999,620,597,0.013,0.01,0.01,0.33,9,9,222,,0.1,3.15,0.3,57.2,301,7.6,17,0.66,44,4.33,1186,,,0.13,16,0.73,0.2,553,1.7,0.66,,0.88,144,,95,136,,16.6,4,,1,0.16,1,3,2,,30.1,22,12.9,34.7,4.97,22,5.4,1.58,5.53,1.01,5.64,1.46,3.35,0.51,2.8,0.43
43,41027,22,,OVD-005,13.4m,,,Gabbro,Khanlab,x,,,,,,Fine and medium grained olivine-hornblende- pyroxene peridotite ,"Panidiomorphic, poikiloophitic","Hb-35-40%, Px-35-40%, Alt Ol-5-10%, Bt-5-7%",Serp-Talc-Iddingsite-Act-Chl-Carb-Geothite-Hydrogoethite,illm-Chromite-Mag,weathered and oxidized rock,,,Ol-Hb-Px Peridotite,Ultramafic (Harzburgite/Dunite),6.72,0.04,8.97,0.14,10.88,0.23,18.19,0.17,0.71,0.13,0.04,37.27,,0.51,,0.04,,,84.55000000000003,809,506,0.008,0.01,0.005,0.26,3.96,,165,,,7.19,,88.5,967,7.27,8,0.94,30,11.06,1154,,,0.05,7,0.01,,305,0.7,0.3,,0.73,81,,77,37.3,,4.7,2,,,0.07,1.5,1,1,,8.9,14,5.7,18.8,2.57,11.2,2.5,0.79,2.53,0.39,2.06,0.48,1.32,0.17,1.2,0.16
44,41028,31,,OVD-008,27.3m,,,Gabbro,Khanlab,x,,,,,,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry) ,"Nevaditic porphyritic, sub-ophitic groundmass, poikiloophitic","Alt Pl-55-60%, Hb-35-40%, Cpx-few, Bt-few, Qtz-few",Ser-Mus-Soss-Chl-Act-Carb,"Geothite, Hydrogoethite",Small Cpx relicts observed as an inclusion in Hb. Large porphyry like Cpx partially including Pl creating poikiloophitic texture. ,,,Porphyritic Px-Hb Gabbro,Mafic (Pyroxenite),13.55,0.04,6.21,0.06,9.36,0.71,9.83,0.16,2.97,0.24,,47.96,,0.69,,,,,92.47,204,31,0.001,0.01,0.01,0.12,7.61,,261,,,4.82,,46.7,498,6.57,16,0.77,17,5.65,1149,,,0.1,7,0.01,0.2,626,1.7,0.46,,0.31,133,1,66,93.1,,11.1,4,,,0.22,0.4,3,2,,20.6,24,16.4,39.8,4.89,21.3,4.7,1.43,4.76,0.71,4.1,0.82,2.33,0.33,2.3,0.32
45,41029,34,,OVD-008,60.3m,,,Gabbro,Khanlab,x,,,,,,Altered porphyritic fine grained pyroxene-hornblende melanocratic gabbro (Altered melanocratic gabbro porphyry) ,"Nevaditic porphyritic, sub-ophitic groundmass, poikiloophitic","Alt Pl-30-35%, Hb-45-50%, Cpx-15-20%",Ser-Soss-Chl-Act-Talc,Mag-illm-Py-Po-Cpy,"same as above sample. Plus, Cpx are not altered. Bt are completely replaced by Chl. ",,,Porphyritic Px-Hb Gabbro,Mafic (Pyroxenite),9.93,0.02,5.81,0.13,11.8,0.33,17.37,0.19,1.13,0.19,0.24,44.77,,0.65,,,0.02,,93.23,423,44,0.001,0.01,0.01,0.41,5.4,,152,,,4.27,,72.6,874,7.72,11,0.42,31,9.69,1299,,,0.08,8,0.06,0.1,399,1,0.39,,0.42,118,,75,99.7,,5.1,2,,,0.22,0.8,2,1,,12.6,23,9.5,24.6,3.02,14,3,0.96,3.36,0.43,2.84,0.56,1.47,0.2,1.4,0.23
46,41030,36,,OVD-008,88.9m,,,Gabbro,Khanlab,x,,,,,,Porphyritic fine grained pyroxene-hornblende melanocratic gabbro (Altered melanocratic gabbro porphyry) ,"Nevaditic porphyritic, sub-ophitic groundmass, poikiloophitic","Alt Pl-40-45%, Hb-35-40%, Px-15-20%, Bt-1-3%",Ser-Epi-Chl-Act-Talc-Carb,Mag-illm-Py-Cpy,"the rock is strongly mineralized and big sulphide blebs and semimassive, but the rock is Gabbro!. The sample needs to reanalysed",,,Porphyritic Px-Hb Gabbro,Mafic (Pyroxenite),10.32,0.05,5.11,0.1,15.63,0.41,13.2,0.17,1.55,0.27,4.17,43.22,,0.82,,0.05,,,95.88999999999999,2542,2592.9999999999995,0.018,0.02,0.01,1.33,6.18,,167,,0.4,3.78,0.7,175,588,10.27,13,0.34,38,7.63,1066,,,0.11,27,2.57,0.1,497,1.3,0.55,,0.57,123,,83,43.8,,6.1,3,,2,0.33,0.9,2,2,,20.8,17,12.1,29.3,4.21,17.5,4.5,1.13,3.88,0.61,3.86,0.67,2.52,0.33,1.9,0.27
47,41031,27,,OVD-007,55.9m,,,Gabbro,Khanlab,x,,,,,,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry) ,"Alt Pl-40-45%, Hb-40-45%, Cpx-10-15%, Bt-1-3%","Nevaditic porphyritic, sub-ophitic, poikiloophitic",Talc-Soss-Act-Chl-Epi-Ser-Carb,Mag-illm-Py,it was defined same as OVD008-88.9,,,Porphyritic Px-Hb Gabbro,Mafic (Pyroxenite),13.97,0.05,5.52,0.06,12.34,0.44,13.8,0.23,1.73,0.14,2.51,41.9,,0.46,,0.04,,,93.64999999999998,785,716,0.004,0.01,0.01,1.14,7.45,,343,,0.2,4.03,,88.7,476,9.07,16,0.78,39,8.55,1601,,,0.05,7,1.4,0.2,856,0.6,0.28,,0.39,198,,87,20.2,,7.3,1,,,0.23,0.5,1,4,,12.4,30,6.1,15.5,2.1,10.1,2.4,0.92,2.7,0.41,2.54,0.46,1.18,0.2,1.3,0.19
48,41032,32,,OVD-008,39.5m,,,Gabbro,Khanlab,x,,,,,,Altered porphyritic fine grained pyroxene-hornblende melanocratic gabbro (Altered melanocratic gabbro porphyry) ,"Nevaditic porphyritic, sub-ophitic groundmass, poikiloophitic","Alt Pl-30-35%, Hb-50-55%",Ser-Mus-Soss-Chl-Act-Carb,illm-Py-Po-Cpy,Hb crystals partially replaced by Act and talc. Some Act-Talc pseudomorphs could be formed from Opx. Sometimes those pseudomorphs includes Cpx relic agregates,,,Porphyritic Px-Hb Gabbro?,Mafic (Pyroxenite),12.69,0.03,7.01,0.09,10.45,0.61,12.21,0.17,2.28,0.21,0.17,46.44,,0.77,,,,,93.89999999999999,237,35,0.001,0.01,0.01,0.06,7.01,,228,,,5.36,,57.8,628,6.99,14,0.68,25,6.95,1248,,,0.09,6,0.12,0.2,638,1.3,0.5,,0.48,145,6,66,105,,8.3,3,,,0.52,0.5,2,2,,17.5,27,12.2,30.4,3.76,17.1,3.9,1.26,4.05,0.59,3.38,0.68,2.07,0.29,1.7,0.27
49,41033,45,,OVD-009,149.8m,,,Gabbro,Khanlab,x,,,,,,Altered gabbro porphyry,"Porphyritic, sub-ophitic, poikiloophitic","Alt Pl-50-55%, Hb-20-25%, Cpx-10-15%, Qtz-5%",Act-Chl-Epi-Ser-Carb-Qtz,illm-Tnt-Py-Cpy,,,,Porphyritic Gabbro,Mafic (Pyroxenite),13.44,0.03,5.56,0.1,12.25,0.63,12.78,0.18,2.54,0.19,2.81,43.98,,0.75,,0.2,0.02,,96.21,1432,1419,0.013,0.01,0.017,0.77,6.56,8,162,,0.2,3.63,0.6,116,601,8.22,14,0.32,27,7.03,1117,,,0.08,12,1.32,,375,0.8,0.43,,0.44,129,,78,81.3,,9,3,,1,0.3,0.5,2,1,,16.1,18,10.8,25.4,3.35,15.1,3,1.09,3.66,0.51,3.16,0.64,1.57,0.24,1.8,0.28
50,41034,49,,OVD-009,190.8m,,,Gabbro,Khanlab,x,,,,,,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry) ,"Porphyritic, sub-ophitic, poikiloophitic","Alt Pl-55-60%, Hb-30-35%, Cpx-5-10%",Ac-Chl-Epi-Ser-Carb-Qtz,illm-Chromite-Tnt-Py-Po-Cpy,,,,Porphyritic Px-Hb Gabbro,Ultramafic (Harzburgite/Dunite),7.09,0.08,3.61,0.13,19.79,0.33,20.06,0.17,0.7,0.15,5.41,37,,0.49,,0.5,0.01,,96.00999999999999,5333,9775,0.146,0.11,0.133,7.45,4.14,15,99,,3.2,2.64,3,254,961,14.72,9,0.15,19,12.75,1301,,,0.07,64,4.06,,319,0.5,0.33,,0.26,81,,114,58.9,,6.3,3,,3,2.69,0.8,2,1,,10,12,7.2,16.5,2.13,9.5,2.2,0.7,2.23,0.32,1.97,0.4,1.19,0.17,1,0.18
1,CRS01A-41.4,51,x,CRS01A,,,CRS01A-41.4,Metasedimentary with intense phyllic alteration ,,X,x,x,,,,Mineralized Amph-Pl gneiss (from diorite),,,,,,,,Amph-Pl Gneiss,,,,,,,,,,,,,,,,,,,,,93,1350,0.23,,,,7.36,1,319,0.1,0.3,0.12,6.01,67.6,338,13.78,12.4,0.09,32,6.62,917,2.7,0.07,0.005,30.2,4.36,0.07,18.7,0.3,0.18,0.32,0.51,218,0.4,1274,16.7,4,3.4,3.6,0.15,,0.43,2,0.7,,0.16,5.2,33,2.1,5.46,,,,,,0.13,,,,,0.8,0.12
2,CRS01A-53.4,52,x,CRS01A,,,CRS01A-53.4,Metasedimentary with intense phyllic alteration ,,X,x,x,,,,Mineralized qtz-actinolite-albite gneiss (after gabbrodiorite),,,,,,,,Qtz-Act-Ab Gneiss,,,,,,,,,,,,,,,,,,,,,83,3940,0.39,,,,6.89,,2583,0.1,0.22,0.1,6.8,65.5,256,13.1,11.8,0.12,24,6.34,827,5.53,0.08,0.005,26.2,2.94,0.36,90.2,0.3,0.17,0.6,0.56,206,0.3,1451,19.2,,3.4,2.6,0.17,0.3,0.24,2,0.58,,0.13,4,29.7,1.6,4.37,,,,,,0.12,,,,,0.5,0.1
3,CRS01A-61.3,53,x,CRS01A,,,CRS01A-61.3,Meta sediment with strong phyllic alteration as a vein like texture. There is Q+Py veinlets with chlorite halo. The phyllic alteration has a sericite halo. Py rich and with magnetitization,,X,x,x,,,,"Mineralized, cordierite-actinolite metasomatite",,,,,,,,Cor-Act Metasomatite,,,,,,,,,,,,,,,,,,,,,59,1470,0.17,,,,5.42,3,623,0.1,0.18,2.52,1.54,50.8,175,11.66,8.7,0.38,18,7.23,1645,8.31,0.08,0.005,23.8,3.85,0.25,67.9,0.2,0.13,0.35,0.99,167,3.6,555,16,3,8.4,2.2,0.17,0.6,1.96,,0.54,,0.12,6.8,22.4,2.5,4.8,,,,,,0.16,,,,,0.7,0.12
4,CRS01A-81,54,x,CRS01A,,,CRS01A-81,Meta sedimentary. Primary magnetite alteration with Pyrrhotite,,X,x,,,,,"Mineralized, spinel-cordierite-actinolite metasomatite (micro-schist)",,,,,,,,Spi-Cor-Act Metasomatite,,,,,,,,,,,,,,,,,,,,,94,1640,0.05,,,,7.25,1,308,0.1,0.19,0.11,0.17,78.2,375,11.93,14,0.11,31,7.39,1124,0.95,0.08,0.005,7.7,3.05,0.18,18.4,0.9,0.19,0.42,0.31,252,0.5,185,21.3,5,12.7,3.3,0.08,0.3,0.25,2,0.73,,0.2,7.2,40.5,1.4,4.32,,,,,,0.16,,,,,1,0.16
5,CRS01A-90.5,55,x,CRS01A,,,CRS01A-90.5,Meta sedimentary. Primary magnetite pyrrhotite alteration replaced by late phyllic alteration,,X,x,,,,,"Mineralized, silicic altered biotite-chlorite serpentinite",,,,,,,,Bt-Chl Serpentinite,,,,,,,,,,,,,,,,,,,,,60,3880,0.27,,,,5.29,2,1183,0.1,0.55,0.06,0.46,69.3,210,11.41,9.1,0.25,27,3.63,560,4.71,0.07,0.005,24.4,4.94,0.07,20.7,0.8,0.12,0.43,0.3,161,0.6,177,18.2,10,13,1.7,0.14,,0.96,2,0.67,,0.12,4.5,27.7,0.9,2.42,,,,,,0.1,,,,,0.7,0.12
6,CRS01A-104.4,56,x,CRS01A,,,CRS01A-104.4,Meta sedimentary. Primary magnetite pyrrhotite alteration replaced by late phyllic alteration,,X,x,x,,,,"Mineralized, quartz vein with carbonate",,,,,,,,Qtz-carb vein,,,,,,,,,,,,,,,,,,,,,60,2880,0.19,,,,3.8,2,9828,,0.33,0.1,0.48,49.1,151,12.6,8.2,0.12,21,2.95,605,14.2,0.05,0.005,29.7,6.53,0.17,169,,0.11,0.46,0.31,135,0.5,123,12,8,4,1.6,0.13,,0.7,1,0.41,,0.06,3.2,18.8,0.7,2.12,,,,,,0.06,,,,,0.5,0.07
7,CRS01A-111.8,57,,CRS01A,,,CRS01A-111.8,Porphyritic rhyolite. with weakly sericitic alteration on the micro fractures. Py can be seen as a trace,,X,x,,,,,Plagio-rhyolite (Plagio-granite porphyry),,,,,,,,Plagio-rhyolite porphyry,,,,,,,,,,,,,,,,,,,,,12,42.9,0.01,,,,7.87,2,436,2.7,0.21,0.67,0.04,2.1,16,1.61,20.9,0.61,9,0.81,317,0.35,4.47,0.0426,42.9,0.03,0.11,100,4.7,0.15,0.46,1.96,18,0.6,44,94.5,,5.4,7.1,0.04,1.3,,,3.01,,0.49,4.3,3.2,15.7,33.3,,,,,,0.21,,,,,0.3,0.05
8,CRS01A-114.8,58,x,CRS01A,,,CRS01A-114.8,"Metasediment with strong altered to APHY, ASER, APYR. cut by multiple PY veinlets",,X,x,x,,,,"Mineralized, silicified cordierite-serpentine-actinolite metasomatite",,,,,,,,Cor-Serp-Act Metasomatite,,,,,,,,,,,,,,,,,,,,,77,3970,0.19,,,,7.42,2,544,0.4,0.36,0.17,0.71,79.4,278,13.64,12.2,0.42,38,5.28,981,17.1,0.14,0.005,19.3,5.43,,26,1.2,0.16,0.55,0.71,226,5.5,351,20.8,17,14.9,3.2,0.16,,1.07,3,1.09,,0.38,6.6,37.2,2,4.7,,,,,,0.15,,,,,1.1,0.19
9,CRS01A-124.1,59,x,CRS01A,,,CRS01A-124.1,Meta sedimentary. Primary magnetite pyrrhotite alteration replaced by late phyllic alteration,,X,x,,,,,"Mineralized, silicified serpentine-actinolite-cordierite metasomatite",,,,,,,,Cor-Serp-Act Metasomatite,,,,,,,,,,,,,,,,,,,,,68,1739.9999999999998,0.24,,,,7.24,2,680,0.1,0.41,0.24,0.52,48.9,194,10.9,11.9,0.37,42,6.34,864,7.27,0.17,0.005,22.1,4.5,,60.7,0.6,0.13,0.84,0.42,217,0.5,331,18.9,9,12.7,1.7,0.13,,0.5,3,0.69,,0.14,6.2,35.8,1.2,3.25,,,,,,0.14,,,,,1,0.16
10,CRS01A-184.32,60,x,CRS01A,,,CRS01A-184.32,"MMS with intense APHY alteration. ASER can be seen on the fractures, mineralization mostly Py with poorly disseminated CPY. ",,X,x,,,,,"Mineralized, silicified serpentine-chlorite-cordierite metasomatite",,,,,,,,Serp-Chl-Cord Metasomatite,,,,,,,,,,,,,,,,,,,,,128,2140,0.14,,,,4.54,5,261,0.1,0.3,0.56,0.15,107,379,11.49,13,0.37,51,7.21,1071,3.44,0.14,0.005,9.6,3.21,,36.8,0.3,0.17,0.61,0.23,244,0.5,69,13.9,14,13.6,2.7,0.06,,0.38,2,0.48,,0.13,6,34,1.3,3.2,,,,,,0.13,,,,,0.9,0.14
11,CRS01A-187.8,61,x,CRS01A,,,CRS01A-187.8,"Intensely APHY altered MMS with A type veins on the 188.35m, 2 veins with 3mm thickness. also with PY  vein and veinlets.",,X,x,x,,,,"Mineralized, silicified cordierite-serpentine-chlorite metasomatite",,,,,,,,Cord-Serp-Chl Metasomatite,,,,,,,,,,,,,,,,,,,,,112,4890,0.19,,,,4.25,5,71,0.1,0.53,0.19,0.47,122,428,12.43,13.2,0.24,47,5.93,1046,1.73,0.16,0.005,9.8,3.83,0.05,32.2,0.5,0.17,0.52,0.29,253,0.3,64,16.2,19,9.6,3.1,0.06,,0.43,2,0.6,,0.16,6,35.5,1.3,3.04,,,,,,0.13,,,,,1,0.16
12,CRS01A-188.4,62,x,CRS01A,,,CRS01A-188.4,"Intensely APHY altered MMS with A type veins on the 188.35m, 2 veins with 3mm thickness. also with PY  vein and veinlets.",,X,x,,,,,"Strongly brecciated, silicified, carbonate altered, mineralized chlorite-serpentine metasomatite",,,,,,,,Chl-Serp Metasomatite,,,,,,,,,,,,,,,,,,,,,81,6730,0.18,,,3,7.87,7,72,0.2,0.62,0.2,0.66,90.1,382,13.76,13.6,0.32,53,7.02,1316,1.39,0.13,0.005,8.6,5.7,0.06,23.9,0.7,0.15,0.73,0.19,236,0.9,78,17.7,21,11.4,2.2,0.07,,0.4,2,0.58,,0.16,5.6,33.6,1.1,2.22,,,,,,0.13,,,,,0.9,0.15
13,OVD010-97.7,63,,OVD010,,,OVD010-97.7,"Grey colored diorite enriched with pyrite. The diorite strongly altered by chlorite, carbonate and epidote alteration.",,x,,,,,,"Strongly altered, gabbrodiorite porphyry (albite-chlorite-actinolite metasomatite after gabbrodiorite)","Relict, porphyry like, sub-ophitic","Ab+Carb Pseudo aft Pl-55-60%, Chlorite Pseudo - 35-40%",Ser-Carb-Chl-Leuc-Qtz,Py-Cpy,Strong metasomatized diorite? Or gabbrodiorite? This is small dyke through pre-cambrian sediment,,,Alb-Chl-Act Metasom after Gabbrodiorite,Gabbroic Rocks,,,,,,,,,,,,,,,,,,,,131,106,0.001,0.01,0.005,,8.82,6,42,0.5,0.08,6.63,0.07,42.2,441,9.08,19.7,0.12,136,5.59,1799,0.62,1.71,0.1026,2.8,0.83,0.16,480,2.4,0.73,,1.06,312,0.7,95,93.3,,2.1,3.2,0.08,1.1,0.05,,3.21,1,0.27,18.7,41.6,12.4,31.7,2.13,9.5,2.2,0.7,2.23,0.72,1.97,0.4,1.19,0.17,1.8,0.24
14,OVD010-226.3,64,,OVD010,,,OVD010-226.3,dark grey colored siltstone and sandstone interbedding,,x,,,,,,Serpentine-carbonate-actinolite-chlorite metasomatite (after gabbro or ultramafic pluton),"Granonematoblast, relict panidiomorphic","Qtz+Carb+Serp Pseudo-55-60%, Chlorite Pseudo-35-40%",Qtz-Carb-Serp-Chl,Tnt-Py,Strong metasomatized gabbro? This is small dyke through pre-cambrian sediment,,,Serp-Carb-Act-Chl Metasom after Gabbro,Gabbroic Rocks,,,,,,,,,,,,,,,,,,,,43,82.5,0.003,0.01,0.002,,9.5,7,271,0.9,0.04,1.81,0.09,24.1,91,6.41,19.8,1.21,75,1.94,1173,0.57,3.65,0.0461,5.2,1.12,0.38,304,0.8,0.58,0.12,0.37,162,0.3,91,80.9,,10.3,2.6,0.07,1,0.05,,2.53,,0.17,15,24.9,3,8.01,,,,,,0.47,,,,,1.8,0.25
