ioGAS number,Rock type,Al2O3 %,BaO %,CaO %,Cr2O3 %,Fe2O3 %,K2O %,MgO %,MnO %,Na2O %,P2O5 %,SO3 %,SiO2 %,SrO %,TiO2 %,PbO %,CuO %,V2O5 %,ZnO %,Ni PPM,Cu PPM,Au PPM,Pt PPM,Pd PPM,Ag PPM,Al %,As PPM,Ba PPM,Be PPM,Bi PPM,Ca %,Cd PPM,Co PPM,Cr PPM,Fe %,Ga PPM,K %,Li PPM,Mg %,Mn PPM,Mo PPM,Na %,P %,Pb PPM,S %,Sb PPM,Sr PPM,Th PPM,Ti %,Tl PPM,U PPM,V PPM,W PPM,Zn PPM,Zr PPM,Se PPM,Rb PPM,Nb PPM,In PPM,Sn PPM,Te PPM,Cs PPM,Hf PPM,Ge PPM,Ta PPM,Y PPM,Sc PPM,La PPM,Ce PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Tb PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Yb PPM,Lu PPM
54,Spi-Cor-Act Metasomatite,,,,,,,,,,,,,,,,,,,94,1640,0.05,,,,7.25,1,308,0.1,0.19,0.11,0.17,78.2,375,11.93,14,0.11,31,7.39,1124,0.95,0.08,0.005,7.7,3.05,0.18,18.4,0.9,0.19,0.42,0.31,252,0.5,185,21.3,5,12.7,3.3,0.08,0.3,0.25,2,0.73,,0.2,7.2,40.5,1.4,4.32,,,,,,0.16,,,,,1,0.16
55,Bt-Chl Serpentinite,,,,,,,,,,,,,,,,,,,60,3880,0.27,,,,5.29,2,1183,0.1,0.55,0.06,0.46,69.3,210,11.41,9.1,0.25,27,3.63,560,4.71,0.07,0.005,24.4,4.94,0.07,20.7,0.8,0.12,0.43,0.3,161,0.6,177,18.2,10,13,1.7,0.14,,0.96,2,0.67,,0.12,4.5,27.7,0.9,2.42,,,,,,0.1,,,,,0.7,0.12
56,Qtz-carb vein,,,,,,,,,,,,,,,,,,,60,2880,0.19,,,,3.8,2,9828,,0.33,0.1,0.48,49.1,151,12.6,8.2,0.12,21,2.95,605,14.2,0.05,0.005,29.7,6.53,0.17,169,,0.11,0.46,0.31,135,0.5,123,12,8,4,1.6,0.13,,0.7,1,0.41,,0.06,3.2,18.8,0.7,2.12,,,,,,0.06,,,,,0.5,0.07
57,Plagio-rhyolite porphyry,,,,,,,,,,,,,,,,,,,12,42.9,0.01,,,,7.87,2,436,2.7,0.21,0.67,0.04,2.1,16,1.61,20.9,0.61,9,0.81,317,0.35,4.47,0.0426,42.9,0.03,0.11,100,4.7,0.15,0.46,1.96,18,0.6,44,94.5,,5.4,7.1,0.04,1.3,,,3.01,,0.49,4.3,3.2,15.7,33.3,,,,,,0.21,,,,,0.3,0.05
58,Cor-Serp-Act Metasomatite,,,,,,,,,,,,,,,,,,,77,3970,0.19,,,,7.42,2,544,0.4,0.36,0.17,0.71,79.4,278,13.64,12.2,0.42,38,5.28,981,17.1,0.14,0.005,19.3,5.43,,26,1.2,0.16,0.55,0.71,226,5.5,351,20.8,17,14.9,3.2,0.16,,1.07,3,1.09,,0.38,6.6,37.2,2,4.7,,,,,,0.15,,,,,1.1,0.19
59,Cor-Serp-Act Metasomatite,,,,,,,,,,,,,,,,,,,68,1739.9999999999998,0.24,,,,7.24,2,680,0.1,0.41,0.24,0.52,48.9,194,10.9,11.9,0.37,42,6.34,864,7.27,0.17,0.005,22.1,4.5,,60.7,0.6,0.13,0.84,0.42,217,0.5,331,18.9,9,12.7,1.7,0.13,,0.5,3,0.69,,0.14,6.2,35.8,1.2,3.25,,,,,,0.14,,,,,1,0.16
60,Serp-Chl-Cord Metasomatite,,,,,,,,,,,,,,,,,,,128,2140,0.14,,,,4.54,5,261,0.1,0.3,0.56,0.15,107,379,11.49,13,0.37,51,7.21,1071,3.44,0.14,0.005,9.6,3.21,,36.8,0.3,0.17,0.61,0.23,244,0.5,69,13.9,14,13.6,2.7,0.06,,0.38,2,0.48,,0.13,6,34,1.3,3.2,,,,,,0.13,,,,,0.9,0.14
61,Cord-Serp-Chl Metasomatite,,,,,,,,,,,,,,,,,,,112,4890,0.19,,,,4.25,5,71,0.1,0.53,0.19,0.47,122,428,12.43,13.2,0.24,47,5.93,1046,1.73,0.16,0.005,9.8,3.83,0.05,32.2,0.5,0.17,0.52,0.29,253,0.3,64,16.2,19,9.6,3.1,0.06,,0.43,2,0.6,,0.16,6,35.5,1.3,3.04,,,,,,0.13,,,,,1,0.16
62,Chl-Serp Metasomatite,,,,,,,,,,,,,,,,,,,81,6730,0.18,,,3,7.87,7,72,0.2,0.62,0.2,0.66,90.1,382,13.76,13.6,0.32,53,7.02,1316,1.39,0.13,0.005,8.6,5.7,0.06,23.9,0.7,0.15,0.73,0.19,236,0.9,78,17.7,21,11.4,2.2,0.07,,0.4,2,0.58,,0.16,5.6,33.6,1.1,2.22,,,,,,0.13,,,,,0.9,0.15
63,Alb-Chl-Act Metasom after Gabbrodiorite,,,,,,,,,,,,,,,,,,,131,106,0.001,0.01,0.005,,8.82,6,42,0.5,0.08,6.63,0.07,42.2,441,9.08,19.7,0.12,136,5.59,1799,0.62,1.71,0.1026,2.8,0.83,0.16,480,2.4,0.73,,1.06,312,0.7,95,93.3,,2.1,3.2,0.08,1.1,0.05,,3.21,1,0.27,18.7,41.6,12.4,31.7,2.13,9.5,2.2,0.7,2.23,0.72,1.97,0.4,1.19,0.17,1.8,0.24
64,Serp-Carb-Act-Chl Metasom after Gabbro,,,,,,,,,,,,,,,,,,,43,82.5,0.003,0.01,0.002,,9.5,7,271,0.9,0.04,1.81,0.09,24.1,91,6.41,19.8,1.21,75,1.94,1173,0.57,3.65,0.0461,5.2,1.12,0.38,304,0.8,0.58,0.12,0.37,162,0.3,91,80.9,,10.3,2.6,0.07,1,0.05,,2.53,,0.17,15,24.9,3,8.01,,,,,,0.47,,,,,1.8,0.25
65,Amph-Gabbrodiorite,,,,,,,,,,,,,,,,,,,238,47.3,0.004,0.01,0.003,3,8.57,6,287,0.6,0.04,5.28,0.06,33.7,311,5.43,15.4,0.38,80,5.23,966,0.34,2.16,0.0798,1.9,0.59,0.29,864,1.8,0.41,0.02,0.63,166,0.1,54,65.5,,6,2.1,0.05,0.5,,2,1.71,,0.16,14.5,24.7,11.7,28.1,,,,,,0.47,,,,,1.2,0.2
66,Qtz Micro-Diorite,,,,,,,,,,,,,,,,,,,462,65.4,0.001,0.01,0.001,,6.37,65,62,1.3,,7.72,0.11,54.4,1162,7.04,12.8,0.31,50,9.68,1357,0.82,0.72,0.1376,4.3,0.02,0.33,461,2,0.37,0.03,1.09,240,0.3,79,58.5,,3.4,2.1,0.03,0.6,0.07,,1.88,2,,11.7,29.5,13.9,34.7,3.32,15.7,4.1,1.23,4.7,0.47,4.97,0.97,2.97,0.44,1.1,0.16
67,Siltstone,,,,,,,,,,,,,,,,,,,59,90.4,0.001,0.01,0.001,,9.66,5,89,0.8,,9.5,0.09,25.4,133,6.28,17.2,0.31,40,2.51,1833,1.13,2.67,0.1028,7.1,1.09,0.22,486,1.3,0.55,0.03,1.22,173,0.5,81,83.4,,5.2,3,0.05,0.8,0.11,,2.76,2,0.07,19.7,27.6,10.1,24,2.96,13.2,2.7,1.13,2.9,0.59,2.74,0.54,1.44,0.2,2.2,0.32
68,Chl-Ser Phyllite,,,,,,,,,,,,,,,,,,,64,90.4,0.001,0.01,0.001,,10.37,6,173,0.9,,8.98,0.06,24.7,159,6.94,19.2,0.8,65,2.38,2117,0.67,2.7,0.0636,2.4,0.41,0.2,774,1.4,0.58,0.07,1.57,186,0.4,90,82,,12.1,3.8,0.06,0.8,0.13,,2.92,2,0.09,18.5,30.3,9.3,19.1,1.19,5.8,1.5,0.57,1.77,0.56,2.05,0.4,1.17,0.17,2.2,0.34
69,Ksp-Qtz Meta-Siltstone,,,,,,,,,,,,,,,,,,,51,94.1,0.001,0.01,0.001,,10.28,6,169,0.9,,5.34,0.1,26.3,95,6.26,18.7,1.05,64,1.91,1205,0.83,3.14,0.1093,9.3,1.54,0.16,653,1.4,0.55,0.11,1.16,185,0.4,89,67.4,,18.9,2.7,0.06,0.9,0.16,,2.28,1,0.07,20.6,27.8,9.7,23.4,2.86,12.5,2.8,0.94,2.72,0.67,2.64,0.48,1.3,0.2,2.3,0.33
70,Sandy Siltstone,,,,,,,,,,,,,,,,,,,910,858,0.01,0.01,0.014,,6.54,13,107,0.9,0.04,7.06,0.17,71,857,7.2,13.3,0.38,37,8.48,1281,0.72,1.05,0.1076,4.5,0.6,7.14,464,1.7,0.48,0.04,0.85,191,0.2,74,72.9,,6,3.2,0.05,0.8,0.12,,2.4,2,0.07,13.5,26.5,12.5,32.2,3.32,16.1,4,1.11,4.6,0.52,4.76,0.95,2.58,0.38,1.4,0.21
71,Ol-Amph Gabbro,,,,,,,,,,,,,,,,,,,553,228,0.001,0.01,0.004,,7.58,5,254,0.8,,4.74,0.11,65.9,504,6.85,14.9,0.52,48,8.24,1318,0.54,1.45,0.1151,3.6,0.27,0.27,559,2,0.48,0.06,0.78,159,0.3,82,98.1,,8.5,4.7,0.06,0.9,0.08,2,2.52,1,0.28,18.9,25.7,15.9,39.6,2.88,13.1,3.7,1.09,3.42,0.62,4.09,0.88,2.59,0.4,2,0.29
72,Amph-Peridotite,,,,,,,,,,,,,,,,,,,506,105,0.001,0.01,0.005,,6.29,3,12,1.2,,6.19,0.07,62.4,910,7.12,12.1,0.12,53,10.17,1300,0.48,0.28,0.1105,3.6,0.19,,248,2.2,0.34,,1.03,189,0.4,65,64,,0.7,2.2,0.04,0.6,,,1.81,,0.12,11.5,31.3,13.4,34.3,,,,,,0.47,,,,,1,0.16
73,Skarn,,,,,,,,,,,,,,,,,,,14,38.2,0.002,0.01,0.002,,8.44,3,140,0.8,0.06,1.28,0.09,17,22,6.02,23.8,0.8,78,1.92,1192,0.45,2.59,0.071,6.3,0.13,,461,1.1,0.5,0.08,0.83,118,0.3,103,72.9,,14.3,2.4,0.08,1.1,,,2.4,,0.17,25.3,31.2,8.7,23.2,,,,,,0.8,,,,,2.9,0.41
74,Diorite Porphyry,,,,,,,,,,,,,,,,,,,42,76.5,0.001,0.01,0.002,,10.35,4,171,0.6,,4.86,0.1,26.3,84,7.12,19.6,0.64,48,2.11,1075,0.47,3.95,0.0962,5.3,0.67,0.06,543,1.3,0.5,0.06,0.59,171,0.3,90,43.8,,9.2,2.1,0.07,0.8,0.06,,1.64,,0.18,16.2,28.8,7.3,17.4,,,,,,0.53,,,,,1.6,0.27
75,Px-Amph Gabbro,,,,,,,,,,,,,,,,,,,83,118,0.013,0.01,0.001,,8.89,4,135,0.7,,9.29,0.13,25.9,138,6.33,16.5,0.34,24,2.92,1538,0.62,3.34,0.1009,6.2,0.55,0.11,646,1.7,0.58,0.02,0.78,153,0.2,74,110,,4.8,4.3,0.07,1.1,0.05,,3.17,,0.31,24,24.3,13.1,29.6,,,,,,0.71,,,,,2.5,0.4
76,Ep-Cpx-Ga-Carb Skarn,,,,,,,,,,,,,,,,,,,83,118,0.013,0.01,0.001,,8.89,4,135,0.7,,9.29,0.13,25.9,138,6.33,16.5,0.34,24,2.92,1538,0.62,3.34,0.1009,6.2,0.55,0.11,646,1.7,0.58,0.02,0.78,153,0.2,74,110,,4.8,4.3,0.07,1.1,0.05,,3.17,,0.31,24,24.3,13.1,29.6,,,,,,0.71,,,,,2.5,0.4
77,Px-Amph Gabbro,,,,,,,,,,,,,,,,,,,650,369,0.007,0.01,0.004,,7.31,1,161,0.6,,5.39,0.15,68.7,549,7.55,11.9,0.4,33,9.3,1217,0.57,1.63,0.082,3,0.48,0.1,426,1,0.52,0.04,0.33,133,,72,103,,4.7,3.5,0.05,0.8,0.06,,2.44,,0.2,16.2,21.8,9.4,22.1,,,,,,0.48,,,,,1.5,0.23
78,Peridotite,,,,,,,,,,,,,,,,,,,6370,6590,0.025,0.08,0.086,3,4.67,32,9,0.3,0.61,6.71,1.41,307,486,14.09,9.6,0.01,39,6.96,1041,1.53,0.02,0.0457,15,5,0.15,182,0.8,0.25,0.07,0.27,97,0.2,122,35.2,10,0.9,1.9,0.16,1.5,1.05,,0.81,2,0.14,8.9,10.8,6.2,16,4.13,18.2,4.1,1.28,4.62,0.32,3.49,0.77,1.85,0.3,0.7,0.1
79,Carb-Act-Chl Metasom after Gabbrodiorite,,,,,,,,,,,,,,,,,,,412,126,0.001,0.01,0.008,,6.53,,110,1.2,0.07,5.81,0.08,52.8,981,7.37,12.8,0.49,49,9.57,1405,0.82,0.79,0.124,3.9,0.61,0.22,240,2.8,0.43,0.05,1.15,232,0.2,66,81.4,,5.5,2.6,0.05,0.7,,,2.33,2,0.17,14.4,29.4,17.5,39.5,3.46,15.2,3.6,1.13,3.76,0.56,3.17,0.64,1.74,0.25,1.3,0.2
80,Chl-Ser Phyllite,,,,,,,,,,,,,,,,,,,88,103,0.001,0.01,0.001,,8.33,6,225,1,0.06,0.97,0.04,30.1,172,8.34,20.9,1.23,89,2.98,1224,0.43,1.73,0.1835,10.5,0.54,0.19,416,1.6,0.54,0.12,1.01,188,0.4,109,83.6,,15.1,4.7,0.08,1.1,,1,2.96,,0.31,17.3,30.5,8.2,22.2,,,,,,0.71,,,,,2.1,0.33
81,Amph-Gabbrodiorite,,,,,,,,,,,,,,,,,,,91,60.1,0.001,0.01,0.001,,6.6,14,154,0.7,,5.14,0.05,37.7,322,6.4,15.6,0.58,77,3.87,949,3.4,1.98,0.1305,2.4,0.21,0.32,548,1.8,0.59,0.06,0.58,188,,72,64.3,,12.2,3.8,0.06,0.7,,1,2.33,2,0.25,17,29.1,15.1,35,3.41,14.4,3.6,1.07,3.77,0.62,3.21,0.74,1.78,0.29,1.6,0.25
82,Bt-Qtz Micro-Diorite,,,,,,,,,,,,,,,,,,,141,40.8,0.001,0.01,0.001,,6.31,2,164,0.6,,5.78,0.06,46.3,407,6.42,16.3,0.49,37,5.63,1141,0.42,2.05,0.1339,2.3,0.15,0.15,623,1.8,0.63,0.05,0.57,186,,74,72.1,,9.5,4.4,0.06,0.8,,,2.74,2,0.27,20.2,30.5,15,34.7,1.28,5.6,1.5,0.64,1.96,0.64,1.94,0.46,1.18,0.19,2,0.29
83,Gabbrodiorite Porphyry,,,,,,,,,,,,,,,,,,,265,205,0.002,0.01,0.002,,5.44,12,184,0.6,,5.38,0.09,47.5,450,6.69,15.2,0.48,48,5.54,1069,0.18,1.76,0.099,2.3,0.21,0.28,526,1.5,0.39,0.04,0.54,145,,74,68.1,,8,2.2,0.05,0.6,,,1.78,2,0.18,13.2,22.1,13.1,30.6,6.05,26.1,6.7,2,7.18,0.46,5.62,1.14,3.06,0.43,1.3,0.18
84,Melanocratic Gabbro,,,,,,,,,,,,,,,,,,,805,525,0.008,0.01,0.004,,4.48,2,123,0.5,0.1,3.41,0.12,80,864,8.54,11.6,0.22,40,11.72,1183,0.33,1.35,0.0805,4.2,0.44,0.06,403,1.1,0.48,,0.39,130,,82,90.1,,2.4,1.8,0.05,0.8,0.07,,2.11,2,0.08,16.9,18.4,10.5,25.4,2.73,12,2.8,0.89,3.15,0.54,2.77,0.55,1.51,0.2,1.7,0.26
85,Amph-Peridotite,,,,,,,,,,,,,,,,,,,615,146,0.002,0.01,0.002,,5.45,3,191,0.6,,3.67,0.08,82.9,697,8.41,11.7,0.52,44,12.78,1373,0.44,1.24,0.097,2,0.16,0.07,549,1.2,0.44,0.12,0.37,126,,88,72.5,,10.2,2.9,0.04,0.7,,2,1.97,2,0.16,18.2,19.5,10.3,26.3,2.82,12.3,2.8,0.89,3.2,0.48,2.93,0.52,1.55,0.21,1.5,0.23
86,Amph-Peridotite,,,,,,,,,,,,,,,,,,,745,313,0.005,0.01,0.003,,4.84,6,173,0.4,,3.31,0.1,85.4,594,8.55,10,0.63,49,13.75,1386,0.15,0.89,0.0875,1,0.19,0.14,394,1,0.38,0.12,0.37,113,,86,66.3,,11.9,2.4,0.04,0.6,0.06,3,1.65,1,0.13,14.2,17.3,8.7,22.1,4.12,18.1,4.4,1.27,4.02,0.39,4.34,0.98,2.37,0.38,1.3,0.19
87,Px-Amph Gabbrodiorite,,,,,,,,,,,,,,,,,,,420,401,0.002,0.01,0.004,,6.49,5,259,0.6,0.08,7.5,0.25,57.2,690,6.49,14.4,0.65,18,6.37,1148,0.31,2.48,0.0934,6.8,0.6,0.1,509,0.9,0.57,0.03,0.35,155,0.2,62,91.9,,7,3.5,0.1,1.5,0.09,,2.61,2,0.23,22.3,37,9,22.7,4.19,18.3,4.2,1.41,4.42,0.58,3.64,0.69,2.1,0.29,1.7,0.26
88,Amph-Peridotite,,,,,,,,,,,,,,,,,,,872,819,0.004,0.01,0.008,,6.24,1,146,0.7,0.08,4.14,0.31,79.1,676,8.95,15,0.5,24,9.45,1328,0.35,1.54,0.1215,3.5,0.8,0.12,297,1.1,0.75,0.03,0.45,174,0.2,91,101,,6.5,4.8,0.11,1.9,0.17,,2.76,2,0.27,24.5,20.6,10.6,27.2,4.02,17.6,3.9,1.23,4.1,0.63,3.51,0.7,1.94,0.29,1.9,0.29
89,Px-Amph Gabbrodiorite,,,,,,,,,,,,,,,,,,,872,819,0.004,0.01,0.008,,6.24,1,146,0.7,0.08,4.14,0.31,79.1,676,8.95,15,0.5,24,9.45,1328,0.35,1.54,0.1215,3.5,0.8,0.12,297,1.1,0.75,0.03,0.45,174,0.2,91,101,,6.5,4.8,0.11,1.9,0.17,,2.76,2,0.27,24.5,20.6,10.6,27.2,4.02,17.6,3.9,1.23,4.1,0.63,3.51,0.7,1.94,0.29,1.9,0.29
90,Amph-Peridotite,,,,,,,,,,,,,,,,,,,4070,4670,0.046,0.04,0.052,2,4.44,1,90,0.5,1.1,2.8,1.03,210,814,13.4,10.1,0.39,20,11.55,1242,0.47,0.75,0.0765,15.8,3.71,0.08,213,0.7,0.41,0.08,0.28,110,,100,70.2,6,5.9,3.1,0.12,1.7,1.01,1,1.91,2,0.2,15.8,16.7,7.1,18,4.16,18.3,4,1.28,4.08,0.42,3.61,0.72,2.13,0.29,1.3,0.2
91,Melanocratic Gabbro Porphyry,,,,,,,,,,,,,,,,,,,190,45.3,0.004,0.01,0.001,,8.5,2,174,0.8,,5.26,0.05,44.6,406,7.06,14.7,0.66,20,6.64,1209,0.23,2.01,0.1084,1.8,0.09,0.05,503,1.4,0.58,0.04,0.5,172,,76,81.6,,8.8,3.7,0.05,0.5,,,2.16,,0.29,18.6,24.7,12.6,29.9,,,,,,0.56,,,,,1.8,0.28
92,Melanocratic Gabbro Porphyry,,,,,,,,,,,,,,,,,,,936,928,0.012,0.01,0.01,,8.11,5,153,0.8,0.13,3.67,0.3,83.2,529,7.5,15.1,0.42,37,7.34,968,0.62,2.02,0.1035,3.5,0.98,0.21,452,2.1,0.53,0.07,0.61,154,,80,78.7,4,6.7,3.7,0.07,0.9,0.19,,2.36,,0.26,16.5,24.7,14.2,35.5,,,,,,0.57,,,,,1.6,0.25
93,Ga-Qtz-Carb Metamorphic rock,,,,,,,,,,,,,,,,,,,28,48.2,0.003,0.01,0.002,,8.89,,208,1,,2.46,0.16,19.2,53,6.11,19.3,1.14,79,2,1145,0.38,2.38,0.1349,7.6,0.62,0.14,474,1.7,0.33,0.1,0.71,162,0.3,108,88.7,,19.4,1.6,0.09,1.1,,1,2.59,,0.13,27.5,28.1,9.6,26.4,,,,,,0.85,,,,,2.6,0.39
94,Amph-Peridotite,,,,,,,,,,,,,,,,,,,3430,3550,0.04,0.03,0.03,2.2,3.2,5,90,0.5,2,2.27,1.1,212,942,12.75,10,0.26,10,14.85,1345,1,0.67,0.061,19,2.6,5,230,20,0.3,10,10,81,10,101,,,,,,,,,,,,,12,10,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,3340,2960,0.05,0.03,0.03,1.7,3.48,5,80,0.5,2,2.27,1.2,207,943,12.4,10,0.26,20,15.05,1370,1,0.65,0.06,18,2.42,5,229,20,0.31,10,10,81,10,101,,,,,,,,,,,,,12,10,,,,,,,,,,,,,
96,Amph-Peridotite,,,,,,,,,,,,,,,,,,,3320,2960,0.03,0.03,0.02,1.8,3.67,5,70,0.5,2,1.92,0.9,211,955,12.45,10,0.26,30,14.55,1280,1,0.47,0.063,16,2.58,5,155,20,0.34,10,10,87,10,82,,,,,,,,,,,,,13,10,,,,,,,,,,,,,
97,Amph-Peridotite,,,,,,,,,,,,,,,,,,,3850,3220,0.03,0.03,0.03,1.4,3.9,5,80,0.5,2,2.2,0.9,244,818,13,10,0.25,20,12.1,1240,1,0.52,0.068,10,2.99,5,435,20,0.4,10,10,98,10,94,,,,,,,,,,,,,13,10,,,,,,,,,,,,,
98,Px-Bt-Amph Gabbro,6.42,0.01,2.26,0.11,37.04,0.26,11.75,0.21,1.28,0.19,20.1,27.65,0.02,0.99,,,,,9800,15200,0.05,0.09,0.1,7,3.4,5,110,0.7,3,1.5,2.2,433,572,26,10,0.2,10,6.77,1565,1,0.83,0.076,19,8.73,5,190,20,0.59,10,10,236,10,187,,,,,,,,,,,,,9,10,,,,,,,,,,,,,
99,Amph-Peridotite,3.94,,2.18,0.18,33.43,0.14,18.45,0.15,0.45,0.08,15.25,27.86,0.02,0.29,,,,,11050,14750,0.11,0.13,0.16,8.3,2.07,5,30,0.5,4,1.44,3.7,505,883,24.1,10,0.11,10,10.6,1120,1,0.25,0.029,59,9.92,5,137,20,0.17,10,10,57,10,141,,,,,,,,,,,,,8,10,,,,,,,,,,,,,
100,,4.39,,2.53,0.18,32.21,0.15,19,0.16,0.63,0.08,19.9,28.98,0.02,0.3,,,,,11550,12450.000000000002,0.11,0.11,0.13,6.6,2.35,5,40,0.5,2,1.74,3,488,857,23.2,10,0.12,10,11.25,1205,1,0.37,0.031,77,9.05,5,180,20,0.18,10,10,59,10,135,,,,,,,,,,,,,9,10,,,,,,,,,,,,,
101,Amph-Peridotite,,,,,,,,,,,,,,,,,,,2980,2990,0.04,0.04,0.07,1.5,4.65,5,40,0.5,2,3.95,1.2,177,713,10.9,10,0.09,40,11.55,1345,1,0.48,0.086,10,2.41,5,206,20,0.46,10,10,109,10,99,,,,,,,,,,,,,15,10,,,,,,,,,,,,,
102,Amph-Peridotite,,,,,,,,,,,,,,,,,,,2100,2010.0000000000002,0.04,0.03,0.04,1.3,5,6,110,0.6,2,3.97,0.7,139,724,9.63,10,0.2,40,11.4,1385,1,0.75,0.093,11,1.38,5,360,20,0.49,10,10,117,10,91,,,,,,,,,,,,,17,10,,,,,,,,,,,,,
103,Gabbro Porphyry,,,,,,,,,,,,,,,,,,,506,606,0.01,0.01,0.01,0.5,7.58,10,370,0.7,2,5.47,0.5,57,358,6.56,10,0.5,30,6.09,1145,1,2.45,0.105,8,0.57,5,868,20,0.55,10,10,141,10,70,,,,,,,,,,,,,21,20,,,,,,,,,,,,,
104,Chl-Ser Micro-Schist,,,,,,,,,,,,,,,,,,,140,107,0.001,0.01,0.003,,9.5,6,187,1.3,0.12,3.05,0.05,40.9,253,7.62,20.4,0.87,86,3.96,1094,1.43,1.63,0.1218,5,3.54,0.73,520,1.9,0.41,0.1,0.93,179,0.8,95,76.9,,15,6,0.03,1.3,,1,2.51,,2.21,19,29.5,13.5,35.9,,,,,,0.61,,,,,2.1,0.3
105,Andesite,,,,,,,,,,,,,,,,,,,194,130,0.003,0.01,0.001,,8.59,7,112,1.1,0.28,4.86,0.05,40,274,6.07,17,0.12,75,5.08,993,1.27,2.26,0.1726,5.3,2.47,1.12,723,2,0.59,,1.03,185,1.6,78,92.1,,2.1,6.3,0.05,2.7,,,2.8,,2.3,18.2,21.4,18.6,49,,,,,,0.64,,,,,1.8,0.28
106,Alkalic Qtz Diorite Porphyry,,,,,,,,,,,,,,,,,,,194,130,0.003,0.01,0.001,,8.59,7,112,1.1,0.28,4.86,0.05,40,274,6.07,17,0.12,75,5.08,993,1.27,2.26,0.1726,5.3,2.47,1.12,723,2,0.59,,1.03,185,1.6,78,92.1,,2.1,6.3,0.05,2.7,,,2.8,,2.3,18.2,21.4,18.6,49,,,,,,0.64,,,,,1.8,0.28
