source_file,source_fileId,sample_id,drillhole_id,depth_from_m,depth_to_m,depth_m,sample_type,rock_name,rock_name_original,texture,minerals,alteration,opaque_minerals,description_summary,analyst_or_lab,report_date
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD14-89.8A,OVD14,,,89.8,polished thin section,Altered fine- to medium-grained pyroxene-hornblende gabbro,Хувирсан жижиг дунд ширхэгтэй пироксен-эвэр хуурмагт габбро,"Ophitic, poikilo-ophitic; massive","Altered plagioclase (table prints ""altered pyroxene""):40-45; Hornblende:35-40; Altered mon. pyroxene:10-15; Chlorite-serpentine pseudomorph:5-10; Magnetite:trace; Pyrite:rare; Chalcopyrite:rare; Titanite:rare; Apatite:0.5-1.0; Sphene:rare","Sericite, pelite, serpentine, epidote, chlorite; plagioclase cores to sericite-epidote; olivine to chlorite-serpentine pseudomorphs",Magnetite-titanite-pyrite-chalcopyrite paragenesis; sparse micro-phenocrysts with mafics; skeletal leucoxenised titanite with chalcopyrite inclusions; euhedral pyrite 0.1-0.5 mm with pseudomorphs,"Slide A of sample 89.8: gabbro of zoned mafic plagioclase, brown hornblende with monoclinic pyroxene relicts, and chlorite-serpentine pseudomorphs after olivine. Weakly mineralised. (Mineral table first entry reads ""altered pyroxene"" but narrative describes plagioclase.)",,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD14-95.8-95.9,OVD14,95.8,95.9,,polished thin section,Mineralised and altered variably grained pyroxene-hornblende melanocratic gabbro,"Хүдэржиж, хувирсан жигд биш ширхэгтэй пироксен-эвэр хуурмагт меланократ габбро","Hypidiomorphic, poikilo-ophitic, ophitic; massive, lenticular",Altered plagioclase:25-30; Hornblende:35-40; Altered mon. pyroxene:5-10; Talc-serpentine pseudomorph:15-20; Biotite:1-3; Magnetite:0.5-1.0; Pyrrhotite:3-5; Chalcopyrite:0.5-1.0; Pyrite:0.5-1.0,"Sericite, pelite, epidote, chlorite, carbonate, quartz; olivine to talc-serpentine pseudomorphs","Magnetite-pyrite-pyrrhotite-chalcopyrite paragenesis; ore lenses 0.5-10.0 mm mainly with carbonate, some intergrown with talc-serpentine; pyrrhotite dominant (0.5-8.0 mm) rimmed by chalcopyrite",Poikilo-ophitic gabbro dominated by coarse brown hornblende enclosing altered plagioclase and olivine; talc-serpentine pseudomorphs 0.6-2.0 mm. Mineralised with carbonate-associated sulfide lenses.,,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD14-89.8B,OVD14,,,89.8,polished thin section,Carbonatised and albitised epidote-pyroxene-garnet-carbonate skarn,"Карбонатчлагдан, альбитжсан эпидот -пироксен-гранат-карбонаттай скарн","Granoblastic; lenticular, banded",Garnet:25-30; Monoclinic pyroxene:15-20; Carbonate:15-20; Epidote:5-10; Amphibole:5-10; Plagioclase:10-15; Serpentine:3-5; Quartz:5-8; Pyrrhotite:0.1; Pyrite:few,Carbonatisation and albitisation; late coarse carbonate-albite veins/lenses 0.5-2.5 mm,"Pyrrhotite-pyrite paragenesis, sparse; pyrrhotite 0.02-0.2 mm micro-lenses with serpentine and altered hornblende; rare pyrite in late carbonate veins","Slide B of sample 89.8 (Cyrillic Б in source): complex skarn interpreted as gabbro-carbonate contact; garnet, calcite, pyroxene, epidote granoblastic aggregate with relict gabbro fragments; weakly mineralised.",,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD14-102.3,OVD14,,,102.3,polished thin section,Mineralised and metasomatically strongly altered fine- to medium-grained peridotite,"Хүдэржиж, метасоматозоор хүчтэй хувирсан жижиг дунд ширхэгтэй перидотит","Relict panidiomorphic, granolepidoblastic; lenticular",Talc-chlorite-serpentine pseudomorph:55-60; Altered hornblende:20-25; Altered pyroxene:5-10; Magnetite:rare; Chromite:rare; Pyrrhotite:8-10; Pyrite:3-5; Chalcopyrite:3-5; Pentlandite:1-3; Carbonate (secondary):5-10; Quartz (secondary):1-3,Pervasive talc-chlorite-serpentine after olivine and pyroxene; hornblende to actinolite-carbonate-chlorite pseudomorphs; late quartz-carbonate veins/lenses,"Chromite-magnetite-pyrite-pentlandite-pyrrhotite-chalcopyrite paragenesis; ore lenses 0.8-30.0 mm occupying ~15-20% of section; pyrrhotite dominant (0.5-10.0 mm) rimmed by chalcopyrite, displacing pentlandite","Strongly altered peridotite, significantly mineralised: large evenly distributed Ni-Cu sulfide lenses (with pentlandite) mostly bounded by late quartz-carbonate, some intergrown with talc-serpentine.",,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD14-109.6,OVD14,,,109.6,polished thin section,Weakly mineralised carbonate-actinolite-chlorite metasomatite derived from gabbrodiorite,Сулавтар хүдэржсэн габбродиоритоор үүссэн карбонат-актинолит-хлоритот метасоматит,"Micronematogranoblastic, relict micro-prismatic, hypidiomorphic; massive",Actinolite:30-35; Chlorite:45-50; Carbonate:10-15; Quartz:1-3; Ilmenite:1-2; Chromite:trace; Pyrite:3-5; Leucoxene (secondary):,Complete metasomatic replacement by actinolite and chlorite pseudomorphs; carbonatisation (0.01-0.2 mm grains),Chromite-ilmenite-pyrite paragenesis; evenly distributed pyrite 0.01-0.2 mm dominant; weakly leucoxenised prismatic ilmenite; rare chromite,Gabbrodiorite fully replaced by actinolite-chlorite pseudomorphs with even fine carbonate; weak oxide-pyrite mineralisation only.,,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD015-94.82,OVD015,,,94.82,polished thin section,Chlorite-sericite micro-schist (phyllite),Хлорит-серицитэт бичил занар (филлит),"Microlepidoblastic; schistose, lenticular, spotted",Sericite:60-65; Chlorite:35-40; Titanite:1-3; Chalcopyrite:rare; Pyrite:trace,"Leucoxene-altered titanite micro-grains, occasionally rimming spotted lenses",Titanite-chalcopyrite paragenesis; dust-like pyrite singles and rare chalcopyrite 0.01-0.1 mm,Phyllite of aligned chlorite-sericite with spotted sericite lens aggregates (65-70 vol%); essentially barren apart from leucoxenised titanite and trace sulfides.,,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD15-102.4,OVD015,,,102.4,polished thin section,Fine-grained hornblende gabbrodiorite,Жижиг ширхэгтэй эвэр хуурмагт габбордиорит,"Poikilo-ophitic, subophitic; massive",Altered plagioclase:55-60; Hornblende:25-30; Biotite:rare; Quartz:1-3; Pyrite:0.5; Chalcopyrite:trace; Apatite:rare; Titanite:rare; Chromite:rare; Zircon:trace,"Sericite, carbonate, pelite; carbonatisation with carbonate lenses/veins 0.1-1.0 mm; biotite to chlorite",Chromite-titanite-pyrite-chalcopyrite paragenesis; euhedral pyrite in carbonate lenses; chromite with hornblende; skeletal leucoxenised titanite with biotite,Gabbrodiorite of zoned intermediate plagioclase and interstitial brown hornblende with poikilitic quartz; weak late mineralisation tied to chlorite and carbonate.,,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD15-105.1-105.2,OVD015,105.1,105.2,,polished thin section,Fine-grained biotite-quartz diorite (microdiorite),Жижиг ширхэгтэй биотитот кварцат диорит (Микродиорит),"Hypidiomorphic, subophitic; massive",Altered plagioclase:55-60; Biotite:20-25; Quartz:1-3; Pyrite:trace; Titanite:0.5; Chalcopyrite:trace; Chromite:trace; Apatite:rare,"Sericite, pelite, chlorite, pelitomorphic carbonate; hydrogoethite coatings along fissures; biotite partly to chlorite pseudomorphs with rutile-titanite",Titanite-pyrite paragenesis; leucoxenised titanite micro-aggregates with biotite; rare pyrite and chalcopyrite micro-grains,Microdiorite of altered tabular plagioclase and reddish-brown biotite with interstitial poikilitic quartz; essentially barren.,,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD15-116.1,OVD015,,,116.1,polished thin section,Strongly carbonatised and altered gabbrodiorite porphyry,"Хүчтэй карбонатчлагдаж, хувирсан габбродиорит порфир","Porphyritic; groundmass poikilo-ophitic, prismatic grained; massive",Altered plagioclase:55-60; Carbonate-serpentine-chlorite pseudomorph (after hornblende):30-35; Biotite:5-10; Quartz:1-3; Ilmenite:rare; Chromite:rare; Pyrrhotite:rare; Pyrite:rare; Chalcopyrite:trace; Zircon:trace; Apatite:rare; Chlorite+sericite+carbonate+quartz+leucoxene+rutile (secondary):10-15,"Intense carbonatisation: pseudomorphs after hornblende/olivine, fine secondary carbonate plus carbonate lenses/veins 0.2-2.5 mm; sericite","Ilmenite-chromite-pyrite-pyrrhotite-chalcopyrite paragenesis, sparse; pyrrhotite micro-lenses in late carbonate veins; chalcopyrite micro-aggregates in late quartz-carbonate veins",Gabbrodiorite porphyry with 40-45% phenocrysts: carbonate-chlorite pseudomorphs after hornblende (relict cleavage preserved) and sericitized plagioclase; abundant apatite; weakly mineralised. NOTE: distinct from OVD-21-116.1 of the Innova report.,,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD15-140.6,OVD015,,,140.6,polished thin section,Weakly mineralised and altered melanocratic gabbro porphyry,"Сулавтар хүдэржиж, хувирсан меланократ габбро порфир (Шигтгээ маягийн сулавтар хүдэржиж, хувирсан меланократ габбро)","Porphyritic; groundmass poikilo-ophitic, prismatic granular; massive",Altered plagioclase:25-30; Hornblende:30-35; Altered olivine (talc-serpentine pseudomorphs):30-35; Biotite:5-10; Quartz:1-3; Ilmenite:0.5-1.0; Pyrrhotite:1-2; Chromite:rare; Magnetite:rare; Chalcopyrite:1-2; Pyrite:1-2,"Serpentine, saussurite, talc, actinolite, carbonate, quartz; olivine to talc-serpentine pseudomorphs 2.0-5.0 mm",Ilmenite-chromite-magnetite-pyrrhotite-chalcopyrite paragenesis; pyrite-pyrrhotite-chalcopyrite lens 1x3 mm in carbonate lens; chalcopyrite micro-grains in talc-serpentine pseudomorphs,Porphyritic melanocratic gabbro (60-65% hornblende and altered-olivine phenocrysts) similar to OVD20-60.6; weak mineralisation with sulfide lens in carbonate.,,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD15-158.7,OVD015,,,158.7,polished thin section,Weakly mineralised and altered fine- to medium-grained melanocratic gabbro (hornblende peridotite),"Сулавтар хүдэржиж, хувирсан жижиг дунд ширхэгтэй меланократ габбро (эвэр хуурмагт перидотит)","Poikilo-ophitic, ophitic, relict panidiomorphic; weakly parallel",Hornblende:35-40; Serpentine-talc pseudomorphs:40-45; Plagioclase:10; Biotite:3-5; Magnetite:rare; Pyrrhotite:rare; Chalcopyrite:rare; Chromite:rare; Ilmenite:rare; Pyrite:1-2; Apatite:0.5,"Serpentine, saussurite, talc, chlorite, actinolite, rare carbonate",Chromite-ilmenite-magnetite-pyrite-pyrrhotite-chalcopyrite paragenesis; pyrite-chalcopyrite lens 0.5-1.0 mm rimmed by carbonate; thin pyrite veinlets rimming altered plagioclase,Weakly aligned melanocratic gabbro/peridotite: brown hornblende and talc-serpentine pseudomorphs after olivine (0.7-4.5 mm) with minor zoned plagioclase; weak mineralisation.,,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD15-165.5,OVD015,,,165.5,polished thin section,Weakly mineralised and altered fine- to medium-grained hornblende peridotite,"Сулавтар хүдэржиж, хувирсан жижиг дунд ширхэгтэй эвэр хуурмагт перидотит","Poikilo-ophitic, relict panidiomorphic; weakly parallel",Talc-serpentine pseudomorphs:40-45; Hornblende:35-40; Altered olivine:8-10; Plagioclase:8-10; Biotite:5-8; Pyroxene:few; Magnetite:few; Pyrrhotite:1-2; Chalcopyrite:0.5; Chromite:few; Ilmenite:few; Pyrite:few; Apatite:0.5,"Serpentinization: pseudomorphs plus weakly serpentinised olivine with serpentine-magnetite mesh veinlets along cleavage; saussurite, talc, chlorite, actinolite",Chromite-ilmenite-magnetite-pyrite-pyrrhotite-chalcopyrite paragenesis; magnetite veinlets in olivine; chalcopyrite-pyrrhotite lenses 0.4-1.0 mm (pyrrhotite dominant),Similar to OVD15-158.7 but with preserved partly-serpentinised olivine (0.5-3.0 mm) showing mesh-textured serpentine-magnetite veinlets; weak sulfide mineralisation.,,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD15-175.5a,OVD015,,,175.5,polished thin section,Strongly mineralised and altered fine- to medium-grained hornblende peridotite (with lenses of weakly mineralised pyroxene-hornblende gabbrodiorite),"Хүчтэй хүдэржиж, хувирсан жижиг дунд ширхэгтэй эвэр хуурмагт перидотит. (Сулавтар хүдэржиж, хувирсан жижиг дунд ширхэгтэй пироксен-эвэр хуурмагт габбродиоритын линзтэй )","Porphyry-like, hypidiomorphic, poikilo-ophitic, ophitic; massive, lenticular",Talc-serpentine pseudomorphs:30-35; Hornblende:25-30; Altered mon. pyroxene:5-10; Biotite:5-8; Magnetite:0.5; Pyrrhotite:1-3; Chalcopyrite:0.5-1.0; Pyrite:5-8; Chromite:rare; Ilmenite:rare,"Sericite, pelite, actinolite, chlorite; talc-serpentine pseudomorphs after olivine","Magnetite-chromite-pyrite-pyrrhotite-chalcopyrite paragenesis; chalcopyrite-pyrrhotite-pyrite lenses 1.0-4.0 mm in amphibole-serpentine-talc sections and along the gabbrodiorite contact; pyrite dominant in lenses, chalcopyrite veinlets crosscut them",Composite sample of three rock sections: main altered hornblende peridotite flanked by pyroxene-hornblende gabbrodiorite and strongly altered microgabbrodiorite as veins/lenses/xenoliths. Mineralisation concentrated in the peridotite and at contacts.,,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD15-175.5B,OVD015,,,175.5,polished thin section,Weakly mineralised and altered fine- to medium-grained pyroxene-hornblende gabbrodiorite,"Сулавтар хүдэржиж, хувирсан жижиг дунд ширхэгтэй пироксен-эвэр хуурмагт габбродиорит","Hypidiomorphic, subophitic; massive, lenticular, veined",Altered plagioclase:60-65; Hornblende:20-25; Altered monoclinic pyroxene:10-15; Altered biotite:5; Ilmenite:0.5-1.0; Pyrrhotite:0.5; Chalcopyrite:0.1; Apatite:0.5-1.0; Sphene:rare; Sericite+pelite+actinolite+chlorite+carbonate (secondary):5-10,"Sericite, pelite, minor epidote-chlorite; large carbonate lenses 1-4 mm; second section almost fully muscovite-sericite pseudomorphed",Ilmenite-pyrite-pyrrhotite-chalcopyrite paragenesis; ilmenite phenocrysts dominant; sulfide micro-grains and micro-lenses with mafics; chalcopyrite in carbonate lenses,"Two-part rock: medium-grained pyroxene-hornblende gabbrodiorite (65-70%, hosts nearly all mineralisation) cemented by metasomatically strongly altered microgabbrodiorite (35-40%, only fine ilmenite). Abundant apatite needles.",,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD15-175.4,OVD015,,,175.4,polished thin section,Weakly mineralised and altered fine- to medium-grained pyroxene-hornblende gabbrodiorite,"Сулавтар хүдэржиж, хувирсан жижиг дунд ширхэгтэй пироксен-эвэр хуурмагт габбродиорит","Hypidiomorphic, subophitic; massive, lenticular",Altered plagioclase:60-65; Hornblende:15-20; Altered monoclinic pyroxene:15-20; Altered biotite:5; Ilmenite:1-2; Pyrrhotite:rare; Chalcopyrite:rare; Pyrite:1-2; Apatite:0.5; Sphene:rare; Sericite+pelite+actinolite+chlorite+epidote+carbonate (secondary):5-10,"Sericite, saussurite, pelite; carbonate lenses 1-4 mm","Ilmenite-pyrite-pyrrhotite-chalcopyrite paragenesis; skeletal ilmenite with carbonate-filled interstices hosting chalcopyrite, prisms up to 10-15 mm long; pyrite-pyrrhotite-chalcopyrite lenses 1.0-8.0 mm (pyrite dominant, 0.5-3.5 mm)",Identical to OVD15-175.5B: altered plagioclase-hornblende-pyroxene gabbrodiorite with fine strongly-altered sections in lower abundance; sulfide-oxide lenses intergrown with rock-forming minerals and late carbonate.,,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD15-177.4,OVD015,,,177.4,polished thin section,Strongly mineralised and altered fine- to medium-grained hornblende peridotite,"Хүчтэй хүдэржиж, хувирсан жижиг дунд ширхэгтэй эвэр хуурмагт перидотит","Poikilo-ophitic, relict panidiomorphic; massive",Talc-serpentine pseudomorphs:40-45; Hornblende:35-40; Plagioclase:10-15; Biotite:5-8; Pyroxene:5; Magnetite:rare; Pyrrhotite:8-10; Chalcopyrite:2-3; Chromite:0.5; Pyrite:rare; Apatite:0.5,"Serpentine, saussurite, talc, chlorite, actinolite; acicular pyrrhotite and chromite along relict cleavage in pseudomorphs","Chromite-magnetite-pyrite-pyrrhotite-chalcopyrite paragenesis; chalcopyrite-pyrrhotite lenses 0.8-15 mm occupying ~20-25% of section; pyrrhotite dominant, chalcopyrite veinlets 0.1-0.5 mm crosscutting",Similar to OVD15-158.7/165.5 but strongly mineralised: main ore is evenly distributed chalcopyrite-pyrrhotite lenses up to 15 mm across (~20-25% of slide area).,,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD20-101.4,OVD20,,,101.4,polished thin section,Weakly mineralised and altered melanocratic gabbro porphyry (porphyry-like fine-grained melanocratic gabbro),"Сулавтар хүдэржиж, хувирсан меланократ габбро порфир (Шигтгээ маягийн жижиг ширхэгтэй меланократ габбро)","Porphyry-like; groundmass poikilo-ophitic, hypidiomorphic; massive",Plagioclase:30-35; Hornblende:30-35; Serpentine-talc pseudomorph:20-25; Biotite:5-10; Quartz:1-3; Ilmenite:rare; Pyrrhotite:rare; Chromite:rare; Magnetite:rare; Chalcopyrite:1-2; Pyrite:1-3; Serpentine+saussurite+talc+actinolite+carbonate (secondary):5-8,"Serpentine, saussurite, talc, actinolite, carbonate; plagioclase to sericite-epidote-carbonate",Ilmenite-chromite-magnetite-pyrite-pyrrhotite-chalcopyrite paragenesis; chalcopyrite-pyrrhotite-pyrite lenses 1-3 mm with serpentine-talc pseudomorphs and late quartz-carbonate lenses; chromite segregated in pseudomorphs,"Porphyry-like melanocratic gabbro: hornblende and talc-serpentine-pseudomorph segregations (50-55%) in plagioclase-dominated groundmass; weak mineralisation, pyrite-dominant lenses.",,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD20-124.2,OVD20,,,124.2,polished thin section,Garnet-quartz-carbonate rock,Гранат-кварц-карбонатат чулуу,"Micro-granoblastic; weakly parallel, banded, lenticular",Carbonate (calcite):60-65; Garnet:15-20; Cordierite?:10-15; Titanite:rare; Zircon:rare; Pyrite:rare; Quartz:5-10,,"Titanite-pyrite paragenesis; sparse leucoxenised titanite and white-yellow pyrite micro-grains, mostly with garnet and carbonate","Calcite-dominated granoblastic rock with aligned fabric, polyhedral garnet porphyroblasts (0.1-0.4 mm, titanite-zircon inclusions) in lenticular/banded clusters and possible cordierite porphyroblasts. Essentially barren.",,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD20-121,OVD20,,,121.0,polished thin section,Strongly mineralised and altered fine- to medium-grained peridotite,"Хүчтэй хүдэржиж, хувирсан жижиг дунд ширхэгтэй перидотит","Poikilo-ophitic, ophitic, panidiomorphic; massive",Altered olivine (iddingsite-serpentine pseudomorphs):30-35; Hornblende:20-25; Monoclinic pyroxene:10; Plagioclase:5-10; Biotite:5-10; Magnetite:0.5; Pyrrhotite:8-10; Chalcopyrite:5-8; Pyrite:rare; Pentlandite:0.5-1.0; Chromite:0.5; Sphalerite:rare,"Partial serpentinisation of olivine/pyroxene with abundant iddingsite; saussurite, talc, carbonate, chlorite","Chromite-magnetite-pyrrhotite-chalcopyrite paragenesis; ore lenses 0.5-6.0 mm, pyrrhotite 75-80% of lenses (0.3-8.0 mm) rimmed by chalcopyrite; pentlandite displaced by pyrrhotite/chalcopyrite; magnetite veinlet mesh in serpentine; single sphalerite grains",Described as identical to OVD21-116.1 (Innova report): partially serpentinised olivine-pyroxene-hornblende peridotite with strong Ni-Cu sulfide lens mineralisation tied to serpentinisation. Header reads OVD20-121 but microphoto caption reads 21-121 - hole attribution slightly ambiguous.,,
"22 р цооног зассан 14ш.docx (hole OVD22, 14 samples)",1ogaE3Tl1iDtPXh9h5ZKylOqCqTS58Tvx,OVD22-7.8-9.0 (47154),OVD22,7.8,9.0,,polished thin section (ӨТШ),Uneven-grained pyroxene-bearing hornblendite,Жигд биш ширхэгтэй пироксентэй горнблендит (Hornblendite),"Granonematoblastic; weakly parallel, lenticular",Hornblende:70-75; Mon. pyroxene:15-20; Goethite:3-5; Pyrite:single grains,"Sericite, chlorite, actinolite (hornblende margins to actinolite-chlorite)","Pyrite-goethite-hydrogoethite paragenesis; euhedral disseminated goethite 0.1-0.6 mm with hornblende, weakly zoned goethite lenses 1.0-3.0 mm; rare pyrite relicts inside goethite","Field description: breccia. Hornblendite dominated by 2-5 mm greenish-brown hornblende with interstitial unaltered monoclinic pyroxene (0.1-1.0 mm) as lens-like clusters, possibly relicts displaced by hornblende. Oxidised mineralisation (goethite after pyrite).",,
"22 р цооног зассан 14ш.docx (hole OVD22, 14 samples)",1ogaE3Tl1iDtPXh9h5ZKylOqCqTS58Tvx,OVD22-37-39 (47155),OVD22,37.0,39.0,,polished thin section (ӨТШ),"Strongly altered, mineralised uneven-grained pyroxene-olivine-hornblende peridotite","Хүчтэй хувирч, хүдэржсэн жигд биш ширхэгтэй пироксен-оливин-эвэр хуурмагт перидотит","Panidiomorphic, poikilo-ophitic, subophitic; massive",Serpentinized olivine:30-35; Hornblende:25-30; Clinopyroxene:10-15; Orthopyroxene:3-5; Biotite (phlogopite):8-10; Altered plagioclase:5-8; Chromite:0.5-1.0; Magnetite:1-3; Chalcopyrite:3-5; Pyrrhotite:8-10; Pentlandite:1-2,"Serpentine (with minor talc), actinolite, chlorite, saussurite; biotite partly to chlorite-muscovite (probable fuchsite)","Chromite-magnetite-pentlandite-pyrrhotite-chalcopyrite paragenesis; magnetite veinlets along olivine mesh; pyrrhotite-pentlandite-chalcopyrite intergrowth lenses 1-8 mm evenly distributed, associated with serpentinized olivine","Field: mineralized gabbro. Peridotite of serpentinized olivine (6-8-sided, magnetite-veined), brown hornblende, clino- and orthopyroxene, phlogopite and minor saussuritized plagioclase. Strong Ni-Cu sulfide mineralisation as disseminations, mesh veinlets and 1-8 mm lenses.",,
"22 р цооног зассан 14ш.docx (hole OVD22, 14 samples)",1ogaE3Tl1iDtPXh9h5ZKylOqCqTS58Tvx,OVD22-45-47 (47156),OVD22,45.0,47.0,,polished thin section (ӨТШ),"Strongly altered, mineralised uneven-grained hornblende peridotite","Хүчтэй хувирч, хүдэржсэн жигд биш ширхэгтэй эвэр хуурмагт перидотит","Panidiomorphic, poikilo-ophitic, subophitic; massive",Serpentinized olivine:30-35; Hornblende:30-35; Clinopyroxene:5-8; Orthopyroxene:few; Biotite (phlogopite):10; Altered plagioclase:8-10; Chromite:few; Magnetite:3; Chalcopyrite:1-3; Pyrrhotite:8-10; Pentlandite:1,"Serpentine, talc, actinolite, saussurite, fuchsite-muscovite",Chromite-magnetite-pentlandite-pyrrhotite-chalcopyrite paragenesis; magnetite mesh veinlets with serpentine; sulfide lenses 0.5-10 mm evenly distributed with serpentinized olivine,Same rock as sample 47155 but with slightly less pyroxene and more biotite. Field: mineralized gabbro. Intense serpentinization with magnetite mesh; pyrrhotite-pentlandite-chalcopyrite lens mineralisation.,,
"22 р цооног зассан 14ш.docx (hole OVD22, 14 samples)",1ogaE3Tl1iDtPXh9h5ZKylOqCqTS58Tvx,OVD22-55-57 (47157),OVD22,55.0,57.0,,polished thin section (ӨТШ),Strongly mineralised and altered uneven-grained hornblende peridotite,"Хүчтэй хүдэржиж, хувирсан жигд биш ширхэгтэй эвэр хуурмагт перидотит","Poikilo-ophitic, relict panidiomorphic; massive, lenticular",Talc-serpentine pseudomorph:35-40; Hornblende:35-40; Plagioclase:1-3; Biotite:8-10; Pyroxene:3-5; Magnetite:3-5; Pyrrhotite:8-10; Chalcopyrite:2-3; Pentlandite:1-2; Chromite:0.5,"Serpentine, saussurite, talc, chlorite, actinolite; fine magnetite along relict cleavage of pseudomorphs",Chromite-magnetite-pyrite-pyrrhotite-chalcopyrite paragenesis; main ore is pentlandite-chalcopyrite-pyrrhotite lenses 0.6-8.0 mm evenly distributed; disseminated chromite 0.01-0.2 mm,"Talc-serpentine pseudomorphs after olivine (0.5-5.0 mm, olivine relicts preserved) and brown hornblende dominate; minor pyroxene relicts, red-brown biotite, saussuritized plagioclase. Strongly mineralised.",,
"22 р цооног зассан 14ш.docx (hole OVD22, 14 samples)",1ogaE3Tl1iDtPXh9h5ZKylOqCqTS58Tvx,OVD22-65-67 (47158),OVD22,65.0,67.0,,polished thin section (ӨТШ),"Strongly altered, weakly mineralised uneven-grained pyroxene-olivine-hornblende peridotite","Хүчтэй хувирч, сулавтар хүдэржсэн жигд биш ширхэгтэй пироксен-оливин-эвэр хуурмагт перидотит","Panidiomorphic, poikilo-ophitic, subophitic; massive",Serpentinized olivine:30-35; Hornblende:35-40; Clinopyroxene:5-10; Orthopyroxene:3-5; Biotite:5-8; Altered plagioclase:5-8; Chromite:0.5-1.0; Magnetite:3-5; Chalcopyrite:0.5; Pyrrhotite:3-5,"Serpentine, talc, actinolite, chlorite, saussurite; chlorite-actinolite-serpentine pseudomorphs",Chromite-magnetite-pentlandite-pyrrhotite-chalcopyrite paragenesis but weakly developed; few pyrrhotite-chalcopyrite lenses 0.8-1.2 mm; magnetite micro-veins/lenses along olivine cleavage,Same rock type as 47156 but with less mineralisation. Serpentinized olivine mesh texture with magnetite veinlets; hornblende dominant; sparse sulfides.,,
"22 р цооног зассан 14ш.docx (hole OVD22, 14 samples)",1ogaE3Tl1iDtPXh9h5ZKylOqCqTS58Tvx,OVD22-89.05 (47159),OVD22,,,89.05,polished thin section (ӨТШ),"Strongly altered, mineralised porphyritic-like medium- to fine-grained hornblende melanocratic gabbro","Хүчтэй хувирч, хүдэржсэн шигтгээ маягийн дунд жижиг ширхэгтэй эвэр хуурмагт меланократ габбро","Porphyritic-like, poikilo-ophitic, subophitic; massive",Hornblende:40-45; Altered plagioclase:35-40; Altered biotite:8-10; Mon. pyroxene:1-3; Ilmenite:1-3; Chalcopyrite:1-3; Pyrrhotite:5-8; Pentlandite:0.5-1.0,"Sericite, actinolite, chlorite, epidote, quartz, carbonate; actinolite-chlorite pseudomorphs after green hornblende/biotite; quartz-carbonate lenses 0.5-2.0 mm","Ilmenite-pentlandite-pyrrhotite-chalcopyrite paragenesis; sulfide lenses 0.5-12 mm unevenly distributed, rimmed by quartz-carbonate lenses and actinolite-chlorite pseudomorphs; ilmenite disseminations 0.1-0.5 mm with hornblende",Porphyritic-like melanocratic gabbro: hornblende segregations (40-45%) in groundmass of zoned basic plagioclase (sericite-chlorite-epidote-carbonate altered) and altered mafics; chalcopyrite veinlets along fractures in pseudomorphs.,,
